Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.562

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-09-26, 00:00:20, OK, 49%, 10.09, 17800, -14256, , 11.363, -14256, 48.7%, , , , , , , , , , , , 
2023-09-26, 00:00:50, OK, 49%, 10.09, 17800, -18313, , 11.344, -18313, 48.5%, , , , , , , , , , , , 
2023-09-26, 00:01:20, OK, 48%, 4.13, 7130, -8274, , 11.417, -8274, 48.4%, , , , , , , , , , , , 
2023-09-26, 00:01:50, OK, 48%, 4.13, 7130, -17361, , 11.344, -17361, 48.3%, , , , , , , , , , , , 
2023-09-26, 00:02:20, OK, 48%, 4.13, 7130, -10726, , 11.403, -10726, 48.2%, , , , , , , , , , , , 
2023-09-26, 00:02:50, OK, 48%, 4.13, 7130, -9179, , 11.405, -9179, 48.1%, , , , , , , , , , , , 
2023-09-26, 00:03:20, OK, 48%, 4.13, 7130, -14932, , 11.377, -14932, 47.9%, , , , , , , , , , , , 
2023-09-26, 00:03:50, OK, 48%, 4.13, 7130, -18255, , 11.271, -18255, 47.9%, , , , , , , , , , , , 
2023-09-26, 00:04:20, OK, 48%, 8.61, 14879, -10187, , 11.399, -10187, 47.7%, , , , , , , , , , , , 
2023-09-26, 00:04:50, OK, 48%, 8.61, 14879, -11288, , 11.407, -11288, 47.6%, , , , , , , , , , , , 
2023-09-26, 00:05:20, OK, 47%, 5.56, 9407, -15024, , 11.346, -15024, 47.5%, , , , , , , , , , , , 
2023-09-26, 00:05:50, OK, 47%, 5.56, 9407, -11803, , 11.376, -11803, 47.3%, , , , , , , , , , , , 
2023-09-26, 00:06:20, OK, 47%, 5.56, 9407, -13179, , 11.349, -13179, 47.2%, , , , , , , , , , , , 
2023-09-26, 00:06:50, OK, 47%, 5.56, 9407, -10783, , 11.381, -10783, 47.1%, , , , , , , , , , , , 
2023-09-26, 00:07:20, OK, 47%, 5.56, 9407, -11139, , 11.391, -11139, 47.0%, , , , , , , , , , , , 
2023-09-26, 00:07:50, OK, 47%, 5.56, 9407, -11448, , 11.380, -11448, 46.8%, , , , , , , , , , , , 
2023-09-26, 00:08:20, OK, 47%, 5.56, 9407, -12399, , 11.361, -12399, 46.7%, , , , , , , , , , , , 
2023-09-26, 00:08:50, OK, 47%, 5.56, 9407, -11975, , 11.353, -11975, 46.6%, , , , , , , , , , , , 
2023-09-26, 00:09:20, OK, 46%, 7.63, 12643, -10715, , 11.372, -10715, 46.5%, , , , , , , , , , , , 
2023-09-26, 00:09:50, OK, 46%, 7.63, 12643, -11196, , 11.360, -11196, 46.4%, , , , , , , , , , , , 
2023-09-26, 00:10:20, OK, 46%, 7.63, 12643, -12388, , 11.357, -12388, 46.3%, , , , , , , , , , , , 
2023-09-26, 00:10:50, OK, 46%, 7.63, 12643, -12479, , 11.358, -12479, 46.1%, , , , , , , , , , , , 
2023-09-26, 00:11:20, OK, 46%, 7.63, 12643, -13488, , 11.370, -13488, 46.0%, , , , , , , , , , , , 
2023-09-26, 00:11:50, OK, 46%, 7.63, 12643, -16261, , 11.311, -16261, 45.8%, , , , , , , , , , , , 
2023-09-26, 00:12:20, OK, 46%, 7.63, 12643, -11757, , 11.357, -11757, 45.7%, , , , , , , , , , , , 
2023-09-26, 00:12:50, OK, 46%, 7.63, 12643, -13052, , 11.341, -13052, 45.6%, , , , , , , , , , , , 
2023-09-26, 00:13:20, OK, 45%, 4.66, 7549, -11368, , 11.349, -11368, 45.4%, , , , , , , , , , , , 
2023-09-26, 00:13:50, OK, 45%, 4.66, 7549, -10898, , 11.365, -10898, 45.3%, , , , , , , , , , , , 
2023-09-26, 00:14:20, OK, 45%, 4.66, 7549, -13201, , 11.322, -13201, 45.2%, , , , , , , , , , , , 
2023-09-26, 00:14:50, OK, 45%, 4.66, 7549, -10783, , 11.354, -10783, 45.1%, , , , , , , , , , , , 
2023-09-26, 00:15:20, OK, 45%, 4.66, 7549, -11047, , 11.355, -11047, 44.9%, , , , , , , , , , , , 
2023-09-26, 00:15:50, OK, 45%, 4.66, 7549, -8778, , 11.377, -8778, 44.8%, , , , , , , , , , , , 
2023-09-26, 00:16:20, OK, 45%, 4.66, 7549, -9729, , 11.368, -9729, 44.7%, , , , , , , , , , , , 
2023-09-26, 00:16:50, OK, 45%, 4.66, 7549, -7999, , 11.380, -7999, 44.6%, , , , , , , , , , , , 
2023-09-26, 00:17:20, OK, 45%, 4.66, 7549, -12044, , 11.375, -12044, 44.5%, , , , , , , , , , , , 
