Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.727

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-05-24, 09:22:01, OK, 60%, 1.65, 3572, -52303, , 11.230, -52303, 60.2%, , , , , , , , , , , , 
2023-05-24, 09:22:31, OK, 59%, 1.78, 3786, -49931, , 11.137, -49931, 59.4%, , , , , , , , , , , , 
2023-05-24, 09:23:01, OK, 59%, 1.79, 3811, -19229, , 11.434, -19229, 59.1%, , , , , , , , , , , , 
2023-05-24, 09:23:31, OK, 59%, 3.36, 7138, -19676, , 11.495, -19676, 58.8%, , , , , , , , , , , , 
2023-05-24, 09:24:01, OK, 59%, 6.65, 14130, -11219, , 11.555, -11219, 58.7%, , , , , , , , , , , , 
2023-05-24, 09:24:31, OK, 59%, 6.65, 14130, -12227, , 11.550, -12227, 58.6%, , , , , , , , , , , , 
2023-05-24, 09:25:01, OK, 58%, 6.18, 12896, -8193, , 11.587, -8193, 58.5%, , , , , , , , , , , , 
2023-05-24, 09:25:31, OK, 58%, 7.34, 15336, -35079, , 11.283, -35079, 58.2%, , , , , , , , , , , , 
2023-05-24, 09:26:01, OK, 58%, 7.34, 15336, -7529, , 11.569, -7529, 58.0%, , , , , , , , , , , , 
2023-05-24, 09:26:31, OK, 58%, 7.34, 15336, -29990, , 11.327, -29990, 57.8%, , , , , , , , , , , , 
2023-05-24, 09:27:01, OK, 58%, 7.34, 15336, -7563, , 11.566, -7563, 57.7%, , , , , , , , , , , , 
2023-05-24, 09:27:31, OK, 58%, 7.34, 15336, -7449, , 11.574, -7449, 57.6%, , , , , , , , , , , , 
2023-05-24, 09:28:01, OK, 58%, 7.34, 15336, -7047, , 11.590, -7047, 57.5%, , , , , , , , , , , , 
2023-05-24, 09:28:31, OK, 57%, 11.97, 24567, -6451, , 11.591, -6451, 57.4%, , , , , , , , , , , , 
2023-05-24, 09:29:01, OK, 57%, 11.97, 24567, -7185, , 11.594, -7185, 57.4%, , , , , , , , , , , , 
2023-05-24, 09:29:31, OK, 57%, 11.97, 24567, -6990, , 11.586, -6990, 57.3%, , , , , , , , , , , , 
2023-05-24, 09:30:01, OK, 57%, 11.97, 24567, -7231, , 11.583, -7231, 57.2%, , , , , , , , , , , , 
2023-05-24, 09:30:31, OK, 57%, 11.97, 24567, -7437, , 11.549, -7437, 57.1%, , , , , , , , , , , , 
2023-05-24, 09:31:01, OK, 57%, 12.14, 24910, -7070, , 11.579, -7070, 57.0%, , , , , , , , , , , , 
2023-05-24, 09:31:31, OK, 57%, 15.56, 31936, -5581, , 11.591, -5581, 56.9%, , , , , , , , , , , , 
2023-05-24, 09:32:01, OK, 57%, 15.56, 31936, -5271, , 11.601, -5271, 56.9%, , , , , , , , , , , , 
2023-05-24, 09:32:31, OK, 57%, 15.56, 31936, -6727, , 11.584, -6727, 56.8%, , , , , , , , , , , , 
2023-05-24, 09:33:01, OK, 57%, 15.56, 31936, -7139, , 11.558, -7139, 56.7%, , , , , , , , , , , , 
2023-05-24, 09:33:31, OK, 57%, 15.56, 31936, -10268, , 11.560, -10268, 56.7%, , , , , , , , , , , , 
2023-05-24, 09:34:01, OK, 57%, 15.56, 31936, -6681, , 11.560, -6681, 56.6%, , , , , , , , , , , , 
2023-05-24, 09:34:31, OK, 57%, 15.56, 31936, -5936, , 11.585, -5936, 56.5%, , , , , , , , , , , , 
2023-05-24, 09:35:01, OK, 56%, 14.04, 28313, -6532, , 11.582, -6532, 56.4%, , , , , , , , , , , , 
2023-05-24, 09:35:31, OK, 56%, 14.04, 28313, -6383, , 11.579, -6383, 56.4%, , , , , , , , , , , , 
2023-05-24, 09:36:01, OK, 56%, 14.04, 28313, -7597, , 11.571, -7597, 56.3%, , , , , , , , , , , , 
2023-05-24, 09:36:31, OK, 56%, 14.04, 28313, -5821, , 11.583, -5821, 56.2%, , , , , , , , , , , , 
2023-05-24, 09:37:01, OK, 56%, 14.04, 28313, -6853, , 11.570, -6853, 56.2%, , , , , , , , , , , , 
2023-05-24, 09:37:31, OK, 56%, 14.04, 28313, -5661, , 11.583, -5661, 56.1%, , , , , , , , , , , , 
2023-05-24, 09:38:01, OK, 56%, 14.04, 28313, -6222, , 11.566, -6222, 56.0%, , , , , , , , , , , , 
2023-05-24, 09:38:31, OK, 56%, 14.04, 28313, -5661, , 11.575, -5661, 56.0%, , , , , , , , , , , , 
2023-05-24, 09:39:01, OK, 56%, 14.04, 28313, -5798, , 11.572, -5798, 55.9%, , , , , , , , , , , , 
2023-05-24, 09:39:31, OK, 56%, 14.04, 28313, -6635, , 11.558, -6635, 55.8%, , , , , , , , , , , , 
2023-05-24, 09:40:01, OK, 56%, 14.04, 28313, -6520, , 11.574, -6520, 55.8%, , , , , , , , , , , , 
2023-05-24, 09:40:31, OK, 56%, 14.04, 28313, -6096, , 11.568, -6096, 55.7%, , , , , , , , , , , , 
2023-05-24, 09:41:01, OK, 56%, 14.04, 28313, -5718, , 11.568, -5718, 55.6%, , , , , , , , , , , , 
2023-05-24, 09:41:31, OK, 56%, 14.04, 28313, -6142, , 11.572, -6142, 55.6%, , , , , , , , , , , , 
2023-05-24, 09:42:01, OK, 56%, 14.04, 28313, -6062, , 11.572, -6062, 55.5%, , , , , , , , , , , , 
2023-05-24, 09:42:31, OK, 55%, 12.03, 23826, -6188, , 11.565, -6188, 55.5%, , , , , , , , , , , , 
2023-05-24, 09:43:01, OK, 55%, 12.03, 23826, -5959, , 11.564, -5959, 55.4%, , , , , , , , , , , , 
2023-05-24, 09:43:31, OK, 55%, 12.03, 23826, -6864, , 11.556, -6864, 55.3%, , , , , , , , , , , , 
2023-05-24, 09:44:01, OK, 55%, 12.03, 23826, -16903, , 11.396, -16903, 55.3%, , , , , , , , , , , , 
2023-05-24, 09:44:31, OK, 55%, 12.03, 23826, -30071, , 11.287, -30071, 55.0%, , , , , , , , , , , , 
2023-05-24, 09:45:01, OK, 55%, 12.03, 23826, -10577, , 11.505, -10577, 54.8%, , , , , , , , , , , , 
2023-05-24, 09:45:31, OK, 55%, 12.03, 23826, -29555, , 11.285, -29555, 54.6%, , , , , , , , , , , , 
2023-05-24, 09:46:01, OK, 54%, 5.06, 9836, -6704, , 11.521, -6704, 54.4%, , , , , , , , , , , , 
2023-05-24, 09:46:31, OK, 54%, 13.62, 26470, -6337, , 11.529, -6337, 54.4%, , , , , , , , , , , , 
2023-05-24, 09:47:01, OK, 54%, 13.62, 26470, -6738, , 11.530, -6738, 54.3%, , , , , , , , , , , , 
2023-05-24, 09:58:36, OK, 54%, 291.03, 565764, 5730, , 11.645, 5730, 53.9%, , , , , , , , , , , , 
2023-05-24, 09:59:06, OK, 54%, 291.07, 565831, 42253, , 12.072, 42253, 54.2%, , , , , , , , , , , , 
2023-05-24, 09:59:36, OK, 55%, 303.76, 601438, 40946, , 12.116, 40946, 54.6%, , , , , , , , , , , , 
2023-05-24, 10:00:06, OK, 55%, 303.79, 601510, 5959, , 11.788, 5959, 54.9%, , , , , , , , , , , , 
2023-05-24, 10:00:36, OK, 55%, 303.83, 601582, 33371, , 12.055, 33371, 55.1%, , , , , , , , , , , , 
2023-05-24, 10:01:06, OK, 55%, 303.87, 601654, 33337, , 12.074, 33337, 55.4%, , , , , , , , , , , , 
2023-05-24, 10:01:36, OK, 56%, 317.72, 640514, 33325, , 12.087, 33325, 55.7%, , , , , , , , , , , , 
2023-05-24, 10:02:06, OK, 56%, 317.75, 640591, 33371, , 12.103, 33371, 56.0%, , , , , , , , , , , , 
2023-05-24, 10:02:36, OK, 56%, 317.79, 640667, 4962, , 11.816, 4962, 56.2%, , , , , , , , , , , , 
