Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.757

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-10-04, 10:05:39, OK, 56%, 0.00, -1, 1421, , 11.757, 1421, 55.9%, , , , , , , , , , , , 
2023-10-04, 10:06:09, OK, 56%, 0.00, -1, 18565, , 12.023, 18565, 56.1%, , , , , , , , , , , , 
2023-10-04, 10:06:39, OK, 56%, 0.00, -1, 17304, , 11.912, 17304, 56.3%, , , , , , , , , , , , 
2023-10-04, 10:07:09, OK, 57%, 0.00, -1, 31182, , 12.168, 31182, 56.5%, , , , , , , , , , , , 
2023-10-04, 10:07:39, OK, 57%, 0.00, -1, 24604, , 12.145, 24604, 56.8%, , , , , , , , , , , , 
2023-10-04, 10:08:09, OK, 57%, 0.00, -1, 31606, , 12.228, 31606, 57.0%, , , , , , , , , , , , 
2023-10-04, 10:08:39, OK, 57%, 0.00, -1, 31927, , 12.238, 31927, 57.3%, , , , , , , , , , , , 
2023-10-04, 10:09:09, OK, 58%, 0.00, -1, 19619, , 12.200, 19619, 57.6%, , , , , , , , , , , , 
2023-10-04, 10:09:39, OK, 58%, 0.00, -1, 32741, , 12.279, 32741, 57.9%, , , , , , , , , , , , 
2023-10-04, 10:10:09, OK, 58%, 0.00, -1, 32947, , 12.302, 32947, 58.2%, , , , , , , , , , , , 
2023-10-04, 10:10:39, OK, 58%, 0.00, -1, 33027, , 12.295, 33027, 58.4%, , , , , , , , , , , , 
2023-10-04, 10:11:09, OK, 59%, 0.00, -1, 32007, , 12.300, 32007, 58.7%, , , , , , , , , , , , 
2023-10-04, 10:11:39, OK, 59%, 0.00, -1, 32580, , 12.328, 32580, 59.0%, , , , , , , , , , , , 
2023-10-04, 10:12:09, OK, 59%, 0.00, -1, 32374, , 12.340, 32374, 59.3%, , , , , , , , , , , , 
2023-10-04, 10:12:39, OK, 60%, 0.00, -1, 0, , 11.976, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:13:09, OK, 60%, 0.00, -1, -137, , 11.937, -137, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:13:39, OK, 60%, 0.00, -1, 0, , 11.921, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:14:09, OK, 60%, 0.00, -1, 0, , 11.914, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:14:39, OK, 60%, 0.00, -1, 0, , 11.909, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:15:09, OK, 60%, 0.00, -1, 0, , 11.905, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:15:39, OK, 60%, 0.00, -1, 0, , 11.903, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:16:09, OK, 60%, 0.00, -1, 0, , 11.901, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:16:39, OK, 60%, 0.00, -1, 0, , 11.899, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:17:09, OK, 60%, 0.00, -1, 0, , 11.898, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:17:39, OK, 60%, 0.00, -1, -721, , 11.894, -721, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:18:09, OK, 60%, 0.00, -1, -1191, , 11.882, -1191, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:18:39, OK, 60%, 0.00, -1, 0, , 11.894, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:19:09, OK, 60%, 0.00, -1, 0, , 11.893, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:19:39, OK, 60%, 0.00, -1, 0, , 11.892, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:20:09, OK, 60%, 0.00, -1, 0, , 11.892, 0, 59.5%, , , , , , , , , , , , 
2023-10-04, 10:20:39, OK, 60%, 0.00, -1, 0, , 11.891, 0, 59.5%, , , , , , , , , , , , 
