Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 12.065

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-06-15, 00:00:06, OK, 54%, 6.24, 12138, -11528, , 11.473, -11528, 54.4%, , , , , , , , , , , , 
2023-06-15, 00:00:36, OK, 54%, 6.24, 12138, -13224, , 11.458, -13224, 54.2%, , , , , , , , , , , , 
2023-06-15, 00:01:06, OK, 54%, 6.24, 12138, -16800, , 11.446, -16800, 54.1%, , , , , , , , , , , , 
2023-06-15, 00:01:36, OK, 54%, 6.24, 12138, -17270, , 11.442, -17270, 53.9%, , , , , , , , , , , , 
2023-06-15, 00:02:06, OK, 54%, 6.24, 12138, -13144, , 11.460, -13144, 53.8%, , , , , , , , , , , , 
2023-06-15, 00:02:36, OK, 54%, 6.24, 12138, -11654, , 11.473, -11654, 53.7%, , , , , , , , , , , , 
2023-06-15, 00:03:06, OK, 54%, 6.24, 12138, -12766, , 11.469, -12766, 53.6%, , , , , , , , , , , , 
2023-06-15, 00:03:36, OK, 53%, 7.14, 13622, -12720, , 11.459, -12720, 53.4%, , , , , , , , , , , , 
2023-06-15, 00:04:06, OK, 53%, 7.14, 13622, -14084, , 11.459, -14084, 53.3%, , , , , , , , , , , , 
2023-06-15, 00:04:36, OK, 53%, 7.14, 13622, -13110, , 11.447, -13110, 53.2%, , , , , , , , , , , , 
2023-06-15, 00:05:06, OK, 53%, 7.14, 13622, -15975, , 11.394, -15975, 53.0%, , , , , , , , , , , , 
2023-06-15, 00:05:36, OK, 53%, 7.14, 13622, -11333, , 11.463, -11333, 52.9%, , , , , , , , , , , , 
2023-06-15, 00:06:06, OK, 53%, 7.14, 13622, -11964, , 11.434, -11964, 52.7%, , , , , , , , , , , , 
2023-06-15, 00:06:36, OK, 53%, 7.14, 13622, -13075, , 11.429, -13075, 52.6%, , , , , , , , , , , , 
2023-06-15, 00:07:06, OK, 52%, 7.83, 14662, -14313, , 11.444, -14313, 52.5%, , , , , , , , , , , , 
2023-06-15, 00:07:36, OK, 52%, 7.83, 14662, -14554, , 11.402, -14554, 52.3%, , , , , , , , , , , , 
2023-06-15, 00:08:06, OK, 52%, 7.83, 14662, -15917, , 11.420, -15917, 52.2%, , , , , , , , , , , , 
2023-06-15, 00:08:36, OK, 52%, 7.83, 14662, -14554, , 11.433, -14554, 52.1%, , , , , , , , , , , , 
2023-06-15, 00:09:06, OK, 52%, 7.83, 14662, -10932, , 11.447, -10932, 51.9%, , , , , , , , , , , , 
2023-06-15, 00:09:36, OK, 52%, 7.83, 14662, -10589, , 11.452, -10589, 51.8%, , , , , , , , , , , , 
2023-06-15, 00:10:06, OK, 52%, 7.83, 14662, -12204, , 11.441, -12204, 51.7%, , , , , , , , , , , , 
