Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 10.795

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-05-12, 09:53:50, OK, 41%, 0.00, -1, -53586, , 10.795, -53586, 40.5%, , , , , , , , , , , , 
2023-05-12, 09:55:30, OK, 40%, 0.00, -1, -51031, , 10.836, -51031, 39.5%, , , , , , , , , , , , 
2023-05-12, 09:56:00, OK, 39%, 4.47, 6271, -12285, , 11.236, -12285, 39.3%, , , , , , , , , , , , 
2023-05-12, 09:56:30, OK, 39%, 2.90, 4072, -11551, , 11.225, -11551, 39.0%, , , , , , , , , , , , 
2023-05-12, 09:57:00, OK, 39%, 2.90, 4072, -6772, , 11.300, -6772, 38.9%, , , , , , , , , , , , 
2023-05-12, 09:57:30, OK, 39%, 2.90, 4072, -29841, , 11.184, -29841, 38.8%, , , , , , , , , , , , 
2023-05-12, 09:58:00, OK, 39%, 2.90, 4072, -16319, , 11.204, -16319, 38.7%, , , , , , , , , , , , 
2023-05-12, 09:58:30, OK, 39%, 2.90, 4072, -12525, , 11.240, -12525, 38.6%, , , , , , , , , , , , 
2023-05-12, 09:59:00, OK, 38%, 10.59, 14481, -8159, , 11.284, -8159, 38.5%, , , , , , , , , , , , 
2023-05-12, 09:59:30, OK, 38%, 10.59, 14481, -8526, , 11.287, -8526, 38.4%, , , , , , , , , , , , 
2023-05-12, 10:00:00, OK, 38%, 10.59, 14481, -8274, , 11.296, -8274, 38.3%, , , , , , , , , , , , 
2023-05-12, 10:00:30, OK, 38%, 5.79, 7921, -9076, , 11.278, -9076, 38.2%, , , , , , , , , , , , 
2023-05-12, 10:01:00, OK, 38%, 11.53, 15777, -5649, , 11.324, -5649, 38.1%, , , , , , , , , , , , 
2023-05-12, 10:01:30, OK, 38%, 14.84, 20298, -6039, , 11.310, -6039, 38.1%, , , , , , , , , , , , 
2023-05-12, 10:02:00, OK, 38%, 14.84, 20298, -5913, , 11.320, -5913, 38.0%, , , , , , , , , , , , 
2023-05-12, 10:02:30, OK, 38%, 14.84, 20298, -5947, , 11.327, -5947, 38.0%, , , , , , , , , , , , 
2023-05-12, 10:03:00, OK, 38%, 14.84, 20298, -6532, , 11.312, -6532, 37.9%, , , , , , , , , , , , 
2023-05-12, 10:03:30, OK, 38%, 14.84, 20298, -5890, , 11.323, -5890, 37.8%, , , , , , , , , , , , 
2023-05-12, 10:04:00, OK, 38%, 14.84, 20298, -8331, , 11.293, -8331, 37.8%, , , , , , , , , , , , 
2023-05-12, 10:04:30, OK, 38%, 14.84, 20298, -8239, , 11.299, -8239, 37.7%, , , , , , , , , , , , 
2023-05-12, 10:05:00, OK, 38%, 14.84, 20298, -8331, , 11.295, -8331, 37.6%, , , , , , , , , , , , 
2023-05-12, 10:05:30, OK, 37%, 7.39, 9837, -9374, , 11.275, -9374, 37.5%, , , , , , , , , , , , 
2023-05-12, 10:06:00, OK, 37%, 16.77, 22331, -5122, , 11.322, -5122, 37.4%, , , , , , , , , , , , 
2023-05-12, 10:06:30, OK, 37%, 16.77, 22331, -4755, , 11.336, -4755, 37.4%, , , , , , , , , , , , 
2023-05-12, 10:07:00, OK, 37%, 16.77, 22331, -4389, , 11.337, -4389, 37.3%, , , , , , , , , , , , 
2023-05-12, 10:07:30, OK, 37%, 16.77, 22331, -4813, , 11.338, -4813, 37.3%, , , , , , , , , , , , 
2023-05-12, 10:08:00, OK, 37%, 16.77, 22331, -4389, , 11.340, -4389, 37.2%, , , , , , , , , , , , 
2023-05-12, 10:08:30, OK, 37%, 14.56, 19388, -12365, , 11.244, -12365, 37.2%, , , , , , , , , , , , 
2023-05-12, 10:09:00, OK, 37%, 13.63, 18159, -11597, , 11.273, -11597, 37.1%, , , , , , , , , , , , 
2023-05-12, 10:09:30, OK, 37%, 13.63, 18159, -9465, , 11.269, -9465, 37.0%, , , , , , , , , , , , 
2023-05-12, 10:10:00, OK, 37%, 13.63, 18159, -10497, , 11.252, -10497, 36.9%, , , , , , , , , , , , 
2023-05-12, 10:10:30, OK, 37%, 13.63, 18159, -10852, , 11.255, -10852, 36.8%, , , , , , , , , , , , 
2023-05-12, 10:11:00, OK, 37%, 13.63, 18159, -10566, , 11.256, -10566, 36.7%, , , , , , , , , , , , 
2023-05-12, 10:11:30, OK, 37%, 8.38, 11156, -12984, , 11.230, -12984, 36.6%, , , , , , , , , , , , 
2023-05-12, 10:12:00, OK, 36%, 6.75, 8742, -12846, , 11.227, -12846, 36.4%, , , , , , , , , , , , 
2023-05-12, 10:12:30, OK, 36%, 6.75, 8742, -9225, , 11.263, -9225, 36.3%, , , , , , , , , , , , 
2023-05-12, 10:13:00, OK, 36%, 6.75, 8742, -9041, , 11.269, -9041, 36.2%, , , , , , , , , , , , 
2023-05-12, 10:13:30, OK, 36%, 9.29, 12037, -5111, , 11.313, -5111, 36.2%, , , , , , , , , , , , 
2023-05-12, 10:14:00, OK, 36%, 19.51, 25285, -4675, , 11.316, -4675, 36.1%, , , , , , , , , , , , 
2023-05-12, 10:14:30, OK, 36%, 19.51, 25285, -4480, , 11.327, -4480, 36.1%, , , , , , , , , , , , 
2023-05-12, 10:15:00, OK, 36%, 19.51, 25285, -4286, , 11.326, -4286, 36.0%, , , , , , , , , , , , 
2023-05-12, 10:15:30, OK, 36%, 19.51, 25285, -6784, , 11.305, -6784, 35.9%, , , , , , , , , , , , 
2023-05-12, 10:16:00, OK, 36%, 19.51, 25285, -5168, , 11.303, -5168, 35.9%, , , , , , , , , , , , 
2023-05-12, 10:16:30, OK, 36%, 19.51, 25285, -4859, , 11.321, -4859, 35.8%, , , , , , , , , , , , 
2023-05-12, 10:17:00, OK, 36%, 19.51, 25285, -5157, , 11.317, -5157, 35.8%, , , , , , , , , , , , 
2023-05-12, 10:17:30, OK, 36%, 19.51, 25285, -4400, , 11.321, -4400, 35.7%, , , , , , , , , , , , 
2023-05-12, 10:18:00, OK, 36%, 19.51, 25285, -4893, , 11.305, -4893, 35.7%, , , , , , , , , , , , 
2023-05-12, 10:18:30, OK, 36%, 18.67, 24191, -6245, , 11.295, -6245, 35.6%, , , , , , , , , , , , 
2023-05-12, 10:19:00, OK, 36%, 18.67, 24191, -4813, , 11.324, -4813, 35.6%, , , , , , , , , , , , 
2023-05-12, 10:19:30, OK, 36%, 18.67, 24191, -6291, , 11.306, -6291, 35.5%, , , , , , , , , , , , 
2023-05-12, 10:20:00, OK, 35%, 19.76, 24892, -8170, , 11.280, -8170, 35.5%, , , , , , , , , , , , 
2023-05-12, 10:20:30, OK, 35%, 19.76, 24892, -5890, , 11.295, -5890, 35.4%, , , , , , , , , , , , 
2023-05-12, 10:21:00, OK, 35%, 19.76, 24892, -5305, , 11.313, -5305, 35.3%, , , , , , , , , , , , 
2023-05-12, 10:21:30, OK, 35%, 19.76, 24892, -4641, , 11.324, -4641, 35.3%, , , , , , , , , , , , 
2023-05-12, 10:22:00, OK, 35%, 19.76, 24892, -4675, , 11.322, -4675, 35.2%, , , , , , , , , , , , 
2023-05-12, 10:22:30, OK, 35%, 19.76, 24892, -4572, , 11.316, -4572, 35.2%, , , , , , , , , , , , 
2023-05-12, 10:23:00, OK, 35%, 19.76, 24892, -4904, , 11.320, -4904, 35.1%, , , , , , , , , , , , 
2023-05-12, 10:23:30, OK, 35%, 19.76, 24892, -4412, , 11.318, -4412, 35.1%, , , , , , , , , , , , 
2023-05-12, 10:24:00, OK, 35%, 19.76, 24892, -4538, , 11.317, -4538, 35.0%, , , , , , , , , , , , 
2023-05-12, 10:24:30, OK, 35%, 19.76, 24892, -5076, , 11.309, -5076, 35.0%, , , , , , , , , , , , 
2023-05-12, 10:25:00, OK, 35%, 19.76, 24892, -4641, , 11.322, -4641, 35.0%, , , , , , , , , , , , 
2023-05-12, 10:25:30, OK, 35%, 19.76, 24892, -5787, , 11.309, -5787, 34.9%, , , , , , , , , , , , 
2023-05-12, 10:26:00, OK, 35%, 19.76, 24892, -4457, , 11.322, -4457, 34.8%, , , , , , , , , , , , 
2023-05-12, 10:26:30, OK, 35%, 19.76, 24892, -4274, , 11.324, -4274, 34.8%, , , , , , , , , , , , 
2023-05-12, 10:27:00, OK, 35%, 19.76, 24892, -4320, , 11.325, -4320, 34.8%, , , , , , , , , , , , 
