Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 10.997

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-07-31, 09:18:22, OK, 44%, 0.00, -1, -42975, , 10.997, -42975, 43.6%, , , , , , , , , , , , 
2023-07-31, 09:18:52, OK, 43%, 0.83, 1289, 607, , 11.437, 607, 43.2%, , , , , , , , , , , , 
2023-07-31, 09:19:22, OK, 43%, 1.67, 2580, 25521, , 11.768, 25521, 43.3%, , , , , , , , , , , , 
2023-07-31, 09:19:52, OK, 43%, 2.50, 3870, 16112, , 11.558, 16112, 43.4%, , , , , , , , , , , , 
2023-07-31, 09:20:22, OK, 44%, 0.00, -1, 24684, , 11.793, 24684, 43.6%, , , , , , , , , , , , 
2023-07-31, 09:20:52, OK, 44%, 0.00, -1, 23756, , 11.779, 23756, 43.8%, , , , , , , , , , , , 
2023-07-31, 09:21:22, OK, 44%, 0.00, -1, 24639, , 11.756, 24639, 44.0%, , , , , , , , , , , , 
2023-07-31, 09:21:52, OK, 44%, 0.00, -1, 5053, , 11.664, 5053, 44.3%, , , , , , , , , , , , 
2023-07-31, 09:22:22, OK, 44%, 0.00, -1, 14565, , 11.702, 14565, 44.3%, , , , , , , , , , , , 
2023-07-31, 09:22:52, OK, 45%, 0.00, -1, 21315, , 11.760, 21315, 44.5%, , , , , , , , , , , , 
2023-07-31, 09:23:22, OK, 45%, 0.00, -1, 27630, , 11.830, 27630, 44.7%, , , , , , , , , , , , 
2023-07-31, 09:23:52, OK, 45%, 0.00, -1, 24684, , 11.840, 24684, 44.9%, , , , , , , , , , , , 
2023-07-31, 09:24:22, OK, 45%, 0.00, -1, 27916, , 11.860, 27916, 45.2%, , , , , , , , , , , , 
2023-07-31, 09:24:52, OK, 45%, 0.00, -1, 26552, , 11.856, 26552, 45.5%, , , , , , , , , , , , 
2023-07-31, 09:25:22, OK, 46%, 0.00, -1, 22667, , 11.865, 22667, 45.7%, , , , , , , , , , , , 
2023-07-31, 09:25:52, OK, 46%, 0.00, -1, 26655, , 11.869, 26655, 46.0%, , , , , , , , , , , , 
2023-07-31, 09:26:22, OK, 46%, 0.00, -1, 27584, , 11.873, 27584, 46.2%, , , , , , , , , , , , 
2023-07-31, 09:26:52, OK, 46%, 0.00, -1, 27652, , 11.880, 27652, 46.5%, , , , , , , , , , , , 
2023-07-31, 09:27:22, OK, 47%, 0.00, -1, 27721, , 11.890, 27721, 46.8%, , , , , , , , , , , , 
2023-07-31, 09:27:52, OK, 47%, 0.00, -1, 26449, , 11.864, 26449, 47.0%, , , , , , , , , , , , 
2023-07-31, 09:28:22, OK, 47%, 0.00, -1, 22140, , 11.830, 22140, 47.3%, , , , , , , , , , , , 
2023-07-31, 09:28:52, OK, 48%, 0.00, -1, 28134, , 11.896, 28134, 47.6%, , , , , , , , , , , , 
