Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.727

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-05-23, 02:45:28, OK, 74%, 1.82, 4851, -51214, , 11.651, -51214, 74.3%, , , , , , , , , , , , 
2023-05-23, 02:45:58, OK, 74%, 965.92, 2573210, 18886, , 12.322, 18886, 74.1%, , , , , , , , , , , , 
2023-05-23, 02:46:28, OK, 74%, 966.13, 2573764, 1031, , 12.245, 1031, 74.3%, , , , , , , , , , , , 
2023-05-23, 02:46:58, OK, 74%, 966.34, 2574319, 6119, , 12.243, 6119, 74.4%, , , , , , , , , , , , 
2023-05-23, 02:47:28, OK, 75%, 1288.73, 3479561, 27137, , 12.556, 27137, 74.7%, , , , , , , , , , , , 
2023-05-23, 02:47:58, OK, 75%, 1289.00, 3480310, 31377, , 12.635, 31377, 75.0%, , , , , , , , , , , , 
2023-05-23, 02:48:28, OK, 75%, 1289.28, 3481060, 33062, , 12.646, 33062, 75.2%, , , , , , , , , , , , 
2023-05-23, 02:48:58, OK, 76%, 1934.34, 5292351, 33130, , 12.670, 33130, 75.5%, , , , , , , , , , , , 
2023-05-23, 02:49:28, OK, 76%, 1934.76, 5293491, 35640, , 12.706, 35640, 75.9%, , , , , , , , , , , , 
2023-05-23, 02:49:58, OK, 76%, 1935.17, 5294631, 33921, , 12.707, 33921, 76.2%, , , , , , , , , , , , 
2023-05-23, 02:50:28, OK, 77%, 3871.18, 10730905, 28145, , 12.697, 28145, 76.6%, , , , , , , , , , , , 
2023-05-23, 02:50:58, OK, 77%, 3872.01, 10733215, 37073, , 12.767, 37073, 76.9%, , , , , , , , , , , , 
2023-05-23, 02:51:28, OK, 77%, 3872.84, 10735525, 38104, , 12.776, 38104, 77.2%, , , , , , , , , , , , 
2023-05-23, 02:51:58, OK, 78%, 0.00, -1, 37359, , 12.800, 37359, 77.6%, , , , , , , , , , , , 
2023-05-23, 02:52:28, OK, 78%, 0.00, -1, 38150, , 12.819, 38150, 77.9%, , , , , , , , , , , , 
