Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.852

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-09-11, 08:32:45, OK, 60%, 0.00, -1, -68, , 11.852, -68, 59.5%, , , , , , , , , , , , 
2023-09-11, 08:33:15, OK, 60%, 0.00, -1, 0, , 11.854, 0, 59.5%, , , , , , , , , , , , 
2023-09-11, 08:33:45, OK, 60%, 0.00, -1, 0, , 11.854, 0, 59.5%, , , , , , , , , , , , 
2023-09-11, 08:34:15, OK, 60%, 0.00, -1, 0, , 11.854, 0, 59.5%, , , , , , , , , , , , 
2023-09-11, 08:34:45, OK, 60%, 0.00, -1, 0, , 11.854, 0, 59.5%, , , , , , , , , , , , 
2023-09-11, 08:35:15, OK, 60%, 0.00, -1, 0, , 11.854, 0, 59.5%, , , , , , , , , , , , 
2023-09-11, 08:35:45, OK, 60%, 0.00, -1, 0, , 11.854, 0, 59.5%, , , , , , , , , , , , 
2023-09-11, 08:36:15, OK, 59%, 5.83, 12391, -14244, , 11.708, -14244, 59.5%, , , , , , , , , , , , 
2023-09-11, 09:30:49, OK, 59%, 279.06, 592715, -12491, , 11.661, -12491, 58.9%, , , , , , , , , , , , 
2023-09-11, 09:31:19, OK, 59%, 11.56, 24548, -6841, , 11.708, -6841, 58.8%, , , , , , , , , , , , 
2023-09-11, 09:31:49, OK, 59%, 98.45, 209099, 38918, , 12.216, 38918, 58.9%, , , , , , , , , , , , 
2023-09-11, 09:32:19, OK, 59%, 99.28, 210868, 13350, , 11.993, 13350, 59.1%, , , , , , , , , , , , 
2023-09-11, 09:32:49, OK, 59%, 100.11, 212638, 11792, , 11.997, 11792, 59.2%, , , , , , , , , , , , 
