Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.713

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-05-14, 00:00:15, OK, 48%, 10.09, 17443, -8526, , 11.437, -8526, 48.4%, , , , , , , , , , , , 
2023-05-14, 00:00:45, OK, 48%, 10.09, 17443, -7712, , 11.447, -7712, 48.3%, , , , , , , , , , , , 
2023-05-14, 00:01:15, OK, 48%, 10.09, 17443, -7483, , 11.446, -7483, 48.2%, , , , , , , , , , , , 
2023-05-14, 00:01:45, OK, 48%, 10.09, 17443, -7620, , 11.455, -7620, 48.1%, , , , , , , , , , , , 
2023-05-14, 00:02:15, OK, 48%, 10.09, 17443, -7254, , 11.444, -7254, 48.1%, , , , , , , , , , , , 
2023-05-14, 00:02:45, OK, 48%, 10.09, 17443, -7483, , 11.435, -7483, 48.0%, , , , , , , , , , , , 
2023-05-14, 00:03:15, OK, 48%, 11.02, 19051, -9408, , 11.426, -9408, 47.9%, , , , , , , , , , , , 
2023-05-14, 00:03:45, OK, 48%, 11.02, 19051, -9385, , 11.422, -9385, 47.8%, , , , , , , , , , , , 
2023-05-14, 00:04:15, OK, 48%, 11.02, 19051, -9374, , 11.420, -9374, 47.7%, , , , , , , , , , , , 
2023-05-14, 00:04:45, OK, 48%, 5.68, 9811, -17258, , 11.332, -17258, 47.6%, , , , , , , , , , , , 
2023-05-14, 00:05:15, OK, 47%, 10.49, 17754, -7620, , 11.432, -7620, 47.5%, , , , , , , , , , , , 
2023-05-14, 00:05:45, OK, 47%, 10.49, 17754, -8308, , 11.426, -8308, 47.4%, , , , , , , , , , , , 
2023-05-14, 00:06:15, OK, 47%, 10.49, 17754, -7540, , 11.436, -7540, 47.3%, , , , , , , , , , , , 
2023-05-14, 00:06:45, OK, 47%, 10.49, 17754, -8067, , 11.426, -8067, 47.2%, , , , , , , , , , , , 
2023-05-14, 00:07:15, OK, 47%, 10.49, 17754, -7999, , 11.414, -7999, 47.2%, , , , , , , , , , , , 
2023-05-14, 00:07:45, OK, 47%, 11.73, 19847, -9695, , 11.398, -9695, 47.1%, , , , , , , , , , , , 
2023-05-14, 00:08:15, OK, 47%, 93.19, 157678, 38448, , 11.851, 38448, 47.2%, , , , , , , , , , , , 
2023-05-14, 00:08:45, OK, 48%, 101.74, 175803, 34334, , 11.881, 34334, 47.6%, , , , , , , , , , , , 
2023-05-14, 00:09:15, OK, 48%, 101.81, 175934, 37600, , 11.986, 37600, 47.9%, , , , , , , , , , , , 
2023-05-14, 00:09:45, OK, 48%, 101.89, 176065, 37497, , 11.980, 37497, 48.3%, , , , , , , , , , , , 
2023-05-14, 00:10:15, OK, 49%, 112.16, 197853, 32030, , 11.920, 32030, 48.6%, , , , , , , , , , , , 
2023-05-14, 00:10:45, OK, 49%, 112.25, 198000, 32638, , 11.968, 32638, 48.9%, , , , , , , , , , , , 
2023-05-14, 00:11:15, OK, 49%, 112.33, 198147, 33062, , 11.977, 33062, 49.2%, , , , , , , , , , , , 
2023-05-14, 00:11:45, OK, 50%, 124.90, 224823, 33176, , 11.985, 33176, 49.6%, , , , , , , , , , , , 
2023-05-14, 00:12:15, OK, 50%, 124.99, 224990, 32901, , 11.993, 32901, 49.9%, , , , , , , , , , , , 
2023-05-14, 00:12:45, OK, 50%, 125.09, 225157, 32958, , 12.002, 32958, 50.2%, , , , , , , , , , , , 
2023-05-14, 00:13:15, OK, 51%, 140.83, 258559, 32867, , 12.008, 32867, 50.5%, , , , , , , , , , , , 
2023-05-14, 00:13:45, OK, 51%, 140.93, 258750, 33016, , 12.014, 33016, 50.9%, , , , , , , , , , , , 
2023-05-14, 00:14:15, OK, 51%, 141.04, 258941, 32855, , 12.025, 32855, 51.2%, , , , , , , , , , , , 
2023-05-14, 00:14:45, OK, 52%, 161.30, 301958, 32787, , 12.031, 32787, 51.5%, , , , , , , , , , , , 
2023-05-14, 00:15:15, OK, 52%, 161.42, 302181, 38471, , 12.100, 38471, 51.9%, , , , , , , , , , , , 
2023-05-14, 00:15:45, OK, 52%, 161.54, 302404, 37256, , 12.095, 37256, 52.3%, , , , , , , , , , , , 
2023-05-14, 00:16:15, OK, 53%, 188.60, 359855, 38207, , 12.125, 38207, 52.6%, , , , , , , , , , , , 
2023-05-14, 00:16:45, OK, 53%, 188.74, 360119, 38012, , 12.129, 38012, 53.0%, , , , , , , , , , , , 
2023-05-14, 00:17:15, OK, 53%, 188.88, 360384, 38677, , 12.146, 38677, 53.4%, , , , , , , , , , , , 
2023-05-14, 00:17:45, OK, 53%, 189.02, 360650, 37760, , 12.155, 37760, 53.8%, , , , , , , , , , , , 
2023-05-14, 00:18:15, OK, 53%, 189.16, 360915, 36431, , 12.101, 36431, 54.1%, , , , , , , , , , , , 
2023-05-14, 00:18:45, OK, 55%, 283.95, 562214, 37382, , 12.177, 37382, 54.5%, , , , , , , , , , , , 
2023-05-14, 00:19:15, OK, 55%, 284.16, 562627, 38161, , 12.189, 38161, 54.9%, , , , , , , , , , , , 
2023-05-14, 00:19:45, OK, 55%, 284.36, 563039, 38138, , 12.200, 38138, 55.3%, , , , , , , , , , , , 
2023-05-14, 00:20:15, OK, 55%, 284.57, 563452, 38219, , 12.215, 38219, 55.7%, , , , , , , , , , , , 
2023-05-14, 00:20:45, OK, 55%, 284.78, 563864, 38379, , 12.223, 38379, 56.0%, , , , , , , , , , , , 
2023-05-14, 00:21:15, OK, 55%, 284.99, 564276, 38150, , 12.232, 38150, 56.4%, , , , , , , , , , , , 
2023-05-14, 00:21:45, OK, 57%, 570.39, 1170446, 38471, , 12.247, 38471, 56.8%, , , , , , , , , , , , 
2023-05-14, 00:22:15, OK, 57%, 570.81, 1171301, 38666, , 12.259, 38666, 57.2%, , , , , , , , , , , , 
2023-05-14, 00:22:45, OK, 58%, 1142.45, 2385441, 37818, , 12.270, 37818, 57.5%, , , , , , , , , , , , 
2023-05-14, 00:23:15, OK, 58%, 1143.29, 2387181, 38574, , 12.283, 38574, 57.9%, , , , , , , , , , , , 
2023-05-14, 00:23:45, OK, 58%, 1144.12, 2388923, 38058, , 12.276, 38058, 58.3%, , , , , , , , , , , , 
2023-05-14, 00:24:15, OK, 59%, 0.00, -1, 37898, , 12.296, 37898, 58.7%, , , , , , , , , , , , 
2023-05-14, 00:24:45, OK, 59%, 0.00, -1, 37245, , 12.317, 37245, 59.1%, , , , , , , , , , , , 
2023-05-14, 00:25:15, OK, 59%, 0.00, -1, 37004, , 12.313, 37004, 59.4%, , , , , , , , , , , , 
2023-05-14, 00:25:45, OK, 60%, 0.00, -1, 0, , 11.918, 0, 59.5%, , , , , , , , , , , , 
2023-05-14, 00:26:15, OK, 60%, 0.00, -1, -435, , 11.871, -435, 59.5%, , , , , , , , , , , , 
2023-05-14, 00:26:45, OK, 60%, 0.00, -1, 0, , 11.878, 0, 59.5%, , , , , , , , , , , , 
2023-05-14, 00:27:15, OK, 60%, 0.00, -1, -710, , 11.871, -710, 59.5%, , , , , , , , , , , , 
2023-05-14, 00:27:45, OK, 60%, 0.00, -1, 0, , 11.867, 0, 59.5%, , , , , , , , , , , , 
2023-05-14, 00:28:15, OK, 60%, 0.00, -1, -1501, , 11.857, -1501, 59.5%, , , , , , , , , , , , 
2023-05-14, 00:28:45, OK, 60%, 0.00, -1, -68, , 11.860, -68, 59.5%, , , , , , , , , , , , 
2023-05-14, 00:29:15, OK, 60%, 0.00, -1, 0, , 11.858, 0, 59.5%, , , , , , , , , , , , 
2023-05-14, 00:29:45, OK, 60%, 0.00, -1, 0, , 11.857, 0, 59.5%, , , , , , , , , , , , 
2023-05-14, 00:30:15, OK, 60%, 0.00, -1, 0, , 11.855, 0, 59.5%, , , , , , , , , , , , 
