Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 12.398

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-07-26, 00:00:24, OK, 83%, 7.10, 21201, -11757, , 12.370, -11757, 83.3%, , , , , , , , , , , , 
2023-07-26, 00:00:54, OK, 83%, 7.10, 21201, -11631, , 12.365, -11631, 83.2%, , , , , , , , , , , , 
2023-07-26, 00:01:24, OK, 83%, 7.61, 22724, -14909, , 12.341, -14909, 83.1%, , , , , , , , , , , , 
2023-07-26, 00:01:54, OK, 83%, 7.34, 21940, -11460, , 12.361, -11460, 83.0%, , , , , , , , , , , , 
2023-07-26, 00:02:24, OK, 83%, 7.34, 21940, -12869, , 12.348, -12869, 82.9%, , , , , , , , , , , , 
2023-07-26, 00:02:54, OK, 83%, 7.34, 21940, -11906, , 12.339, -11906, 82.7%, , , , , , , , , , , , 
2023-07-26, 00:03:24, OK, 83%, 7.34, 21940, -11952, , 12.337, -11952, 82.6%, , , , , , , , , , , , 
2023-07-26, 00:03:54, OK, 83%, 7.34, 21940, -11757, , 12.335, -11757, 82.5%, , , , , , , , , , , , 
2023-07-26, 00:04:24, OK, 82%, 4.94, 14584, -11941, , 12.328, -11941, 82.4%, , , , , , , , , , , , 
2023-07-26, 00:04:54, OK, 82%, 4.94, 14584, -12113, , 12.331, -12113, 82.2%, , , , , , , , , , , , 
2023-07-26, 00:05:24, OK, 82%, 4.94, 14584, -12055, , 12.313, -12055, 82.1%, , , , , , , , , , , , 
2023-07-26, 00:05:54, OK, 82%, 4.94, 14584, -11631, , 12.318, -11631, 82.0%, , , , , , , , , , , , 
2023-07-26, 00:06:24, OK, 82%, 4.94, 14584, -12181, , 12.313, -12181, 81.9%, , , , , , , , , , , , 
2023-07-26, 00:06:54, OK, 82%, 4.94, 14584, -11643, , 12.312, -11643, 81.8%, , , , , , , , , , , , 
2023-07-26, 00:07:24, OK, 82%, 4.94, 14584, -12216, , 12.305, -12216, 81.6%, , , , , , , , , , , , 
2023-07-26, 00:07:54, OK, 82%, 4.94, 14584, -11975, , 12.298, -11975, 81.5%, , , , , , , , , , , , 
2023-07-26, 00:08:24, OK, 81%, 6.82, 19891, -11769, , 12.301, -11769, 81.4%, , , , , , , , , , , , 
2023-07-26, 00:08:54, OK, 81%, 8.30, 24215, -10841, , 12.303, -10841, 81.3%, , , , , , , , , , , , 
2023-07-26, 00:09:24, OK, 81%, 8.30, 24215, -10096, , 12.311, -10096, 81.2%, , , , , , , , , , , , 
2023-07-26, 00:09:54, OK, 81%, 8.30, 24215, -10417, , 12.313, -10417, 81.1%, , , , , , , , , , , , 
2023-07-26, 00:10:24, OK, 81%, 8.30, 24215, -11448, , 12.284, -11448, 80.9%, , , , , , , , , , , , 
2023-07-26, 00:10:54, OK, 81%, 8.30, 24215, -10084, , 12.302, -10084, 80.8%, , , , , , , , , , , , 
2023-07-26, 00:11:24, OK, 81%, 8.30, 24215, -9087, , 12.319, -9087, 80.7%, , , , , , , , , , , , 
2023-07-26, 00:11:54, OK, 81%, 8.30, 24215, -10073, , 12.293, -10073, 80.6%, , , , , , , , , , , , 
2023-07-26, 00:12:24, OK, 81%, 8.30, 24215, -10382, , 12.284, -10382, 80.5%, , , , , , , , , , , , 
2023-07-26, 00:12:54, OK, 80%, 8.24, 23734, -10314, , 12.293, -10314, 80.4%, , , , , , , , , , , , 
2023-07-26, 00:13:24, OK, 80%, 8.24, 23734, -11746, , 12.277, -11746, 80.3%, , , , , , , , , , , , 
2023-07-26, 00:13:54, OK, 80%, 8.24, 23734, -10657, , 12.262, -10657, 80.2%, , , , , , , , , , , , 
2023-07-26, 00:14:24, OK, 80%, 8.24, 23734, -11150, , 12.274, -11150, 80.1%, , , , , , , , , , , , 
2023-07-26, 00:14:54, OK, 80%, 8.24, 23734, -9809, , 12.290, -9809, 80.0%, , , , , , , , , , , , 
2023-07-26, 00:15:24, OK, 80%, 8.24, 23734, -10325, , 12.274, -10325, 79.9%, , , , , , , , , , , , 
2023-07-26, 00:15:54, OK, 80%, 8.24, 23734, -11448, , 12.268, -11448, 79.8%, , , , , , , , , , , , 
2023-07-26, 00:16:24, OK, 80%, 8.24, 23734, -11104, , 12.258, -11104, 79.7%, , , , , , , , , , , , 
2023-07-26, 00:16:54, OK, 80%, 8.24, 23734, -10084, , 12.253, -10084, 79.6%, , , , , , , , , , , , 
2023-07-26, 00:17:24, OK, 79%, 7.86, 22360, -11047, , 12.250, -11047, 79.5%, , , , , , , , , , , , 
2023-07-26, 00:17:54, OK, 79%, 7.86, 22360, -10611, , 12.263, -10611, 79.4%, , , , , , , , , , , , 
2023-07-26, 00:18:24, OK, 79%, 7.86, 22360, -11116, , 12.241, -11116, 79.3%, , , , , , , , , , , , 
2023-07-26, 00:18:54, OK, 79%, 7.86, 22360, -11104, , 12.230, -11104, 79.2%, , , , , , , , , , , , 
2023-07-26, 00:19:24, OK, 79%, 7.86, 22360, -10829, , 12.232, -10829, 79.0%, , , , , , , , , , , , 
2023-07-26, 00:19:54, OK, 79%, 7.86, 22360, -11333, , 12.227, -11333, 78.9%, , , , , , , , , , , , 
