Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.847

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-05-17, 00:00:16, OK, 69%, 0.00, -1, -45347, , 11.641, -45347, 69.2%, , , , , , , , , , , , 
2023-05-17, 00:00:46, OK, 69%, 3.27, 8123, -20318, , 11.842, -20318, 68.9%, , , , , , , , , , , , 
2023-05-17, 00:01:16, OK, 69%, 3.27, 8123, -18164, , 11.853, -18164, 68.7%, , , , , , , , , , , , 
2023-05-17, 00:01:46, OK, 68%, 4.50, 11018, -35846, , 11.656, -35846, 68.5%, , , , , , , , , , , , 
2023-05-17, 00:02:16, OK, 68%, 4.50, 11018, -19516, , 11.827, -19516, 68.2%, , , , , , , , , , , , 
2023-05-17, 00:02:46, OK, 68%, 4.50, 11018, -37130, , 11.623, -37130, 68.0%, , , , , , , , , , , , 
2023-05-17, 00:03:16, OK, 68%, 4.50, 11018, -40304, , 11.543, -40304, 67.6%, , , , , , , , , , , , 
2023-05-17, 00:03:46, OK, 67%, 1.75, 4232, -48521, , 11.486, -48521, 67.2%, , , , , , , , , , , , 
2023-05-17, 00:04:16, OK, 67%, 1.75, 4232, -49816, , 11.491, -49816, 66.9%, , , , , , , , , , , , 
2023-05-17, 00:04:46, OK, 66%, 1.71, 4065, -51570, , 11.419, -51570, 66.4%, , , , , , , , , , , , 
2023-05-17, 00:05:16, OK, 66%, 1.71, 4065, -50572, , 11.419, -50572, 65.8%, , , , , , , , , , , , 
2023-05-17, 00:05:46, OK, 65%, 1.70, 3972, -49530, , 11.399, -49530, 65.3%, , , , , , , , , , , , 
2023-05-17, 00:06:16, OK, 65%, 1.70, 3972, -47134, , 11.409, -47134, 64.8%, , , , , , , , , , , , 
2023-05-17, 00:06:46, OK, 64%, 1.89, 4356, -46126, , 11.390, -46126, 64.3%, , , , , , , , , , , , 
2023-05-17, 00:07:16, OK, 64%, 1.89, 4356, -48326, , 11.359, -48326, 63.9%, , , , , , , , , , , , 
2023-05-17, 00:07:46, OK, 63%, 1.83, 4148, -47134, , 11.351, -47134, 63.4%, , , , , , , , , , , , 
2023-05-17, 00:08:16, OK, 63%, 1.83, 4148, -48235, , 11.294, -48235, 62.9%, , , , , , , , , , , , 
2023-05-17, 00:08:46, OK, 62%, 1.78, 3970, -47501, , 11.317, -47501, 62.4%, , , , , , , , , , , , 
2023-05-17, 00:09:16, OK, 62%, 1.78, 3970, -49094, , 11.331, -49094, 61.9%, , , , , , , , , , , , 
2023-05-17, 00:09:46, OK, 61%, 1.82, 4004, -49472, , 11.269, -49472, 61.4%, , , , , , , , , , , , 
2023-05-17, 00:10:16, OK, 61%, 1.82, 4004, -49690, , 11.248, -49690, 61.0%, , , , , , , , , , , , 
2023-05-17, 00:10:46, OK, 61%, 0.00, -1, 4194, , 11.722, 4194, 60.5%, , , , , , , , , , , , 
2023-05-17, 00:11:16, OK, 61%, 0.00, -1, 6257, , 11.812, 6257, 60.6%, , , , , , , , , , , , 
2023-05-17, 00:11:46, OK, 61%, 0.00, -1, 3690, , 11.815, 3690, 60.6%, , , , , , , , , , , , 
2023-05-17, 00:12:16, OK, 61%, 0.00, -1, 5592, , 11.852, 5592, 60.7%, , , , , , , , , , , , 
2023-05-17, 00:12:46, OK, 61%, 0.00, -1, 6096, , 11.867, 6096, 60.8%, , , , , , , , , , , , 
2023-05-17, 00:13:16, OK, 61%, 0.00, -1, 5168, , 11.884, 5168, 60.8%, , , , , , , , , , , , 
2023-05-17, 00:13:46, OK, 61%, 0.00, -1, 5844, , 11.883, 5844, 60.9%, , , , , , , , , , , , 
2023-05-17, 00:14:16, OK, 61%, 0.00, -1, 5661, , 11.888, 5661, 60.9%, , , , , , , , , , , , 
2023-05-17, 00:14:46, OK, 61%, 0.00, -1, 6990, , 11.927, 6990, 61.0%, , , , , , , , , , , , 
2023-05-17, 00:15:16, OK, 61%, 0.00, -1, 5363, , 11.907, 5363, 61.0%, , , , , , , , , , , , 
2023-05-17, 00:15:46, OK, 61%, 0.00, -1, 5936, , 11.893, 5936, 61.1%, , , , , , , , , , , , 
2023-05-17, 00:16:16, OK, 61%, 0.00, -1, 6027, , 11.915, 6027, 61.2%, , , , , , , , , , , , 
2023-05-17, 00:16:46, OK, 61%, 0.00, -1, 7013, , 11.926, 7013, 61.2%, , , , , , , , , , , , 
2023-05-17, 00:17:16, OK, 61%, 0.00, -1, 6429, , 11.917, 6429, 61.3%, , , , , , , , , , , , 
2023-05-17, 00:17:46, OK, 61%, 0.00, -1, 5603, , 11.926, 5603, 61.4%, , , , , , , , , , , , 
2023-05-17, 00:18:16, OK, 61%, 0.00, -1, 5787, , 11.937, 5787, 61.4%, , , , , , , , , , , , 
2023-05-17, 00:18:46, OK, 61%, 0.00, -1, 5317, , 11.942, 5317, 61.5%, , , , , , , , , , , , 
2023-05-17, 00:19:16, OK, 62%, 0.00, -1, 4664, , 11.874, 4664, 61.5%, , , , , , , , , , , , 
2023-05-17, 00:19:46, OK, 62%, 0.00, -1, 5878, , 11.926, 5878, 61.6%, , , , , , , , , , , , 
2023-05-17, 00:20:16, OK, 62%, 0.00, -1, 6268, , 11.955, 6268, 61.7%, , , , , , , , , , , , 
2023-05-17, 00:20:46, OK, 62%, 0.00, -1, 4859, , 11.921, 4859, 61.7%, , , , , , , , , , , , 
2023-05-17, 00:21:16, OK, 62%, 0.00, -1, 4881, , 11.936, 4881, 61.8%, , , , , , , , , , , , 
2023-05-17, 00:21:46, OK, 62%, 0.00, -1, 4641, , 11.946, 4641, 61.8%, , , , , , , , , , , , 
2023-05-17, 00:22:16, OK, 62%, 0.00, -1, 6073, , 11.954, 6073, 61.9%, , , , , , , , , , , , 
2023-05-17, 00:22:46, OK, 62%, 0.00, -1, 6280, , 11.956, 6280, 61.9%, , , , , , , , , , , , 
2023-05-17, 00:23:16, OK, 62%, 0.00, -1, 5489, , 11.954, 5489, 62.0%, , , , , , , , , , , , 
2023-05-17, 00:23:46, OK, 62%, 0.00, -1, 4755, , 11.945, 4755, 62.0%, , , , , , , , , , , , 
2023-05-17, 00:24:16, OK, 62%, 0.00, -1, 6245, , 11.965, 6245, 62.1%, , , , , , , , , , , , 
2023-05-17, 00:24:46, OK, 62%, 0.00, -1, 4274, , 11.930, 4274, 62.2%, , , , , , , , , , , , 
2023-05-17, 00:25:16, OK, 62%, 0.00, -1, 5558, , 11.967, 5558, 62.2%, , , , , , , , , , , , 
