Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.623

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-04-21, 06:41:31, OK, 44%, 39.53, 62618, -2188, , 11.439, -2188, 44.5%, , , , , , , , , , , , 
2023-04-21, 13:42:32, OK, 44%, 2.02, 3192, -46951, , 10.824, -46951, 44.3%, , , , , , , , , , , , 
2023-04-21, 13:42:52, OK, 44%, 502.53, 796011, -23722, , 11.117, -23722, 43.8%, , , , , , , , , , , , 
2023-04-21, 13:43:12, OK, 44%, 2.68, 4243, -38413, , 10.959, -38413, 43.6%, , , , , , , , , , , , 
2023-04-21, 13:43:32, OK, 43%, 1.75, 2712, -31824, , 11.008, -31824, 43.4%, , , , , , , , , , , , 
2023-04-21, 13:43:52, OK, 43%, 3.29, 5089, -21521, , 11.185, -21521, 43.2%, , , , , , , , , , , , 
2023-04-21, 13:44:12, OK, 43%, 3.29, 5089, -8973, , 11.299, -8973, 43.1%, , , , , , , , , , , , 
2023-04-21, 13:44:32, OK, 43%, 3.29, 5089, -14577, , 11.245, -14577, 43.0%, , , , , , , , , , , , 
2023-04-21, 13:44:52, OK, 43%, 3.29, 5089, -13774, , 11.270, -13774, 42.9%, , , , , , , , , , , , 
2023-04-21, 13:45:12, OK, 43%, 3.29, 5089, -10050, , 11.300, -10050, 42.9%, , , , , , , , , , , , 
2023-04-21, 13:45:32, OK, 43%, 3.29, 5089, -19229, , 11.208, -19229, 42.8%, , , , , , , , , , , , 
2023-04-21, 13:45:52, OK, 43%, 3.29, 5089, -8686, , 11.324, -8686, 42.7%, , , , , , , , , , , , 
2023-04-21, 13:46:12, OK, 43%, 3.29, 5089, -8606, , 11.328, -8606, 42.7%, , , , , , , , , , , , 
2023-04-21, 13:46:32, OK, 43%, 3.29, 5089, -8537, , 11.329, -8537, 42.6%, , , , , , , , , , , , 
2023-04-21, 13:46:52, OK, 43%, 3.29, 5089, -8938, , 11.301, -8938, 42.5%, , , , , , , , , , , , 
2023-04-21, 13:47:12, OK, 42%, 9.88, 14939, -8560, , 11.328, -8560, 42.5%, , , , , , , , , , , , 
2023-04-21, 13:47:32, OK, 42%, 9.88, 14939, -9305, , 11.312, -9305, 42.4%, , , , , , , , , , , , 
2023-04-21, 13:47:52, OK, 42%, 9.88, 14939, -9225, , 11.322, -9225, 42.4%, , , , , , , , , , , , 
2023-04-21, 13:48:12, OK, 42%, 9.88, 14939, -8801, , 11.332, -8801, 42.3%, , , , , , , , , , , , 
2023-04-21, 13:48:32, OK, 42%, 9.88, 14939, -10703, , 11.292, -10703, 42.2%, , , , , , , , , , , , 
2023-04-21, 13:48:52, OK, 42%, 7.31, 11049, -10371, , 11.289, -10371, 42.2%, , , , , , , , , , , , 
2023-04-21, 13:49:12, OK, 42%, 7.31, 11049, -12800, , 11.280, -12800, 42.1%, , , , , , , , , , , , 
2023-04-21, 13:49:32, OK, 42%, 7.33, 11087, -9351, , 11.314, -9351, 42.0%, , , , , , , , , , , , 
2023-04-21, 13:49:52, OK, 42%, 7.33, 11087, -11196, , 11.284, -11196, 42.0%, , , , , , , , , , , , 
2023-04-21, 13:50:12, OK, 42%, 7.33, 11087, -9993, , 11.292, -9993, 41.9%, , , , , , , , , , , , 
2023-04-21, 13:50:32, OK, 42%, 7.33, 11087, -10210, , 11.303, -10210, 41.8%, , , , , , , , , , , , 
2023-04-21, 13:50:52, OK, 42%, 7.33, 11087, -18507, , 11.187, -18507, 41.7%, , , , , , , , , , , , 
2023-04-21, 13:51:12, OK, 42%, 7.33, 11087, -8870, , 11.314, -8870, 41.6%, , , , , , , , , , , , 
2023-04-21, 13:51:32, OK, 42%, 7.33, 11087, -18954, , 11.180, -18954, 41.6%, , , , , , , , , , , , 
2023-04-21, 13:51:52, OK, 41%, 6.62, 9773, -14485, , 11.256, -14485, 41.4%, , , , , , , , , , , , 
2023-04-21, 13:52:12, OK, 41%, 6.62, 9773, -11780, , 11.266, -11780, 41.4%, , , , , , , , , , , , 
2023-04-21, 13:52:32, OK, 41%, 6.62, 9773, -11104, , 11.274, -11104, 41.3%, , , , , , , , , , , , 
2023-04-21, 13:52:52, OK, 41%, 6.62, 9773, -11253, , 11.282, -11253, 41.2%, , , , , , , , , , , , 
2023-04-21, 13:53:12, OK, 41%, 6.62, 9773, -11127, , 11.278, -11127, 41.1%, , , , , , , , , , , , 
2023-04-21, 13:53:32, OK, 41%, 6.62, 9773, -9901, , 11.305, -9901, 41.1%, , , , , , , , , , , , 
2023-04-21, 13:53:52, OK, 41%, 6.62, 9773, -20719, , 11.191, -20719, 41.0%, , , , , , , , , , , , 
2023-04-21, 13:54:12, OK, 41%, 6.62, 9773, -10210, , 11.284, -10210, 40.9%, , , , , , , , , , , , 
2023-04-21, 13:54:32, OK, 41%, 6.62, 9773, -13339, , 11.249, -13339, 40.8%, , , , , , , , , , , , 
2023-04-21, 13:54:52, OK, 41%, 6.62, 9773, -10990, , 11.282, -10990, 40.7%, , , , , , , , , , , , 
2023-04-21, 13:55:12, OK, 41%, 6.62, 9773, -10210, , 11.276, -10210, 40.7%, , , , , , , , , , , , 
2023-04-21, 13:55:32, OK, 41%, 6.62, 9773, -11448, , 11.279, -11448, 40.6%, , , , , , , , , , , , 
2023-04-21, 13:55:52, OK, 41%, 6.62, 9773, -11425, , 11.262, -11425, 40.5%, , , , , , , , , , , , 
2023-04-21, 13:56:12, OK, 40%, 9.13, 13150, -10119, , 11.269, -10119, 40.4%, , , , , , , , , , , , 
2023-04-21, 13:56:32, OK, 40%, 9.13, 13150, -11173, , 11.274, -11173, 40.4%, , , , , , , , , , , , 
2023-04-21, 13:56:52, OK, 40%, 9.13, 13150, -9786, , 11.293, -9786, 40.3%, , , , , , , , , , , , 
2023-04-21, 13:57:12, OK, 40%, 9.13, 13150, -10336, , 11.274, -10336, 40.2%, , , , , , , , , , , , 
2023-04-21, 13:57:32, OK, 40%, 9.13, 13150, -10394, , 11.284, -10394, 40.1%, , , , , , , , , , , , 
2023-04-21, 13:57:52, OK, 40%, 9.13, 13150, -10657, , 11.281, -10657, 40.1%, , , , , , , , , , , , 
2023-04-21, 13:58:12, OK, 40%, 9.13, 13150, -20776, , 11.210, -20776, 40.0%, , , , , , , , , , , , 
2023-04-21, 13:58:32, OK, 40%, 9.13, 13150, -22278, , 11.200, -22278, 39.9%, , , , , , , , , , , , 
2023-04-21, 13:58:52, OK, 40%, 8.22, 11840, -10692, , 11.289, -10692, 39.8%, , , , , , , , , , , , 
2023-04-21, 13:59:12, OK, 40%, 8.22, 11840, -11414, , 11.262, -11414, 39.8%, , , , , , , , , , , , 
2023-04-21, 13:59:32, OK, 40%, 8.22, 11840, -13213, , 11.241, -13213, 39.7%, , , , , , , , , , , , 
2023-04-21, 13:59:52, OK, 40%, 8.22, 11840, -10520, , 11.281, -10520, 39.6%, , , , , , , , , , , , 
2023-04-21, 14:00:12, OK, 40%, 8.22, 11840, -9397, , 11.291, -9397, 39.5%, , , , , , , , , , , , 
2023-04-21, 14:00:32, OK, 39%, 9.03, 12673, -9523, , 11.291, -9523, 39.5%, , , , , , , , , , , , 
2023-04-21, 14:00:52, OK, 39%, 9.03, 12673, -11047, , 11.261, -11047, 39.4%, , , , , , , , , , , , 
2023-04-21, 14:01:12, OK, 39%, 9.03, 12673, -14485, , 11.243, -14485, 39.3%, , , , , , , , , , , , 
2023-04-21, 14:01:32, OK, 39%, 9.03, 12673, -9695, , 11.282, -9695, 39.2%, , , , , , , , , , , , 
2023-04-21, 14:01:52, OK, 39%, 9.03, 12673, -10291, , 11.281, -10291, 39.2%, , , , , , , , , , , , 
2023-04-21, 14:02:12, OK, 39%, 9.03, 12673, -10371, , 11.276, -10371, 39.1%, , , , , , , , , , , , 
