Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.912

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-10-01, 00:11:36, OK, 59%, 1349.40, 2866119, 30506, , 12.074, 30506, 58.9%, , , , , , , , , , , , 
2023-10-01, 00:12:06, OK, 59%, 1350.23, 2867888, 15413, , 11.969, 15413, 59.2%, , , , , , , , , , , , 
2023-10-01, 00:12:36, OK, 60%, 0.00, -1, 0, , 11.858, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:13:06, OK, 60%, 0.00, -1, 0, , 11.807, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:13:36, OK, 60%, 0.00, -1, 0, , 11.791, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:14:06, OK, 60%, 0.00, -1, 0, , 11.785, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:14:36, OK, 60%, 0.00, -1, 0, , 11.782, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:15:06, OK, 60%, 0.00, -1, 0, , 11.780, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:15:36, OK, 60%, 0.00, -1, 0, , 11.778, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:16:06, OK, 60%, 0.00, -1, 0, , 11.777, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:16:36, OK, 60%, 0.00, -1, 0, , 11.776, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:17:06, OK, 60%, 0.00, -1, 0, , 11.776, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:17:36, OK, 60%, 0.00, -1, 0, , 11.775, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:18:06, OK, 60%, 0.00, -1, -607, , 11.775, -607, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:18:36, OK, 60%, 0.00, -1, 0, , 11.774, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:19:06, OK, 60%, 0.00, -1, 0, , 11.774, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:19:36, OK, 60%, 0.00, -1, 0, , 11.773, 0, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:20:06, OK, 60%, 0.00, -1, -57, , 11.773, -57, 59.5%, , , , , , , , , , , , 
2023-10-01, 00:20:36, OK, 60%, 0.00, -1, 0, , 11.773, 0, 59.5%, , , , , , , , , , , , 
