Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.573

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-04-23, 00:00:02, OK, 35%, 9.39, 11833, -9305, , 11.239, -9305, 34.9%, , , , , , , , , , , , 
2023-04-23, 00:00:22, OK, 35%, 9.39, 11833, -10073, , 11.220, -10073, 34.8%, , , , , , , , , , , , 
2023-04-23, 00:00:42, OK, 35%, 9.39, 11833, -8285, , 11.246, -8285, 34.7%, , , , , , , , , , , , 
2023-04-23, 00:01:02, OK, 35%, 9.39, 11833, -11058, , 11.211, -11058, 34.7%, , , , , , , , , , , , 
2023-04-23, 00:01:22, OK, 35%, 9.39, 11833, -8801, , 11.236, -8801, 34.6%, , , , , , , , , , , , 
2023-04-23, 00:01:42, OK, 35%, 9.39, 11833, -8961, , 11.232, -8961, 34.6%, , , , , , , , , , , , 
2023-04-23, 00:02:02, OK, 35%, 9.39, 11833, -8686, , 11.240, -8686, 34.5%, , , , , , , , , , , , 
2023-04-23, 00:02:22, OK, 34%, 10.23, 12525, -8388, , 11.241, -8388, 34.5%, , , , , , , , , , , , 
2023-04-23, 00:02:42, OK, 34%, 10.23, 12525, -8560, , 11.243, -8560, 34.4%, , , , , , , , , , , , 
2023-04-23, 00:03:02, OK, 34%, 10.23, 12525, -8583, , 11.235, -8583, 34.3%, , , , , , , , , , , , 
2023-04-23, 00:03:22, OK, 34%, 10.23, 12525, -8572, , 11.246, -8572, 34.3%, , , , , , , , , , , , 
2023-04-23, 00:03:42, OK, 34%, 10.23, 12525, -8629, , 11.237, -8629, 34.2%, , , , , , , , , , , , 
2023-04-23, 00:04:02, OK, 34%, 10.23, 12525, -8709, , 11.239, -8709, 34.2%, , , , , , , , , , , , 
2023-04-23, 00:04:22, OK, 34%, 10.23, 12525, -9362, , 11.232, -9362, 34.1%, , , , , , , , , , , , 
2023-04-23, 00:04:42, OK, 34%, 10.23, 12525, -10004, , 11.214, -10004, 34.0%, , , , , , , , , , , , 
2023-04-23, 00:05:02, OK, 34%, 10.23, 12525, -11689, , 11.214, -11689, 33.9%, , , , , , , , , , , , 
2023-04-23, 00:05:22, OK, 34%, 10.23, 12525, -9133, , 11.221, -9133, 33.9%, , , , , , , , , , , , 
2023-04-23, 00:05:42, OK, 34%, 10.23, 12525, -8938, , 11.227, -8938, 33.8%, , , , , , , , , , , , 
2023-04-23, 00:06:02, OK, 34%, 10.23, 12525, -9133, , 11.226, -9133, 33.7%, , , , , , , , , , , , 
2023-04-23, 00:06:22, OK, 34%, 10.23, 12525, -15367, , 11.131, -15367, 33.7%, , , , , , , , , , , , 
2023-04-23, 00:06:42, OK, 34%, 8.88, 10870, -8950, , 11.224, -8950, 33.6%, , , , , , , , , , , , 
2023-04-23, 00:07:02, OK, 34%, 8.88, 10870, -15425, , 11.150, -15425, 33.5%, , , , , , , , , , , , 
2023-04-23, 00:07:22, OK, 33%, 9.73, 11555, -9672, , 11.222, -9672, 33.5%, , , , , , , , , , , , 
2023-04-23, 00:07:42, OK, 33%, 9.73, 11555, -9110, , 11.223, -9110, 33.4%, , , , , , , , , , , , 
2023-04-23, 00:08:02, OK, 33%, 9.73, 11555, -9935, , 11.221, -9935, 33.3%, , , , , , , , , , , , 
2023-04-23, 00:08:22, OK, 33%, 9.73, 11555, -10577, , 11.218, -10577, 33.3%, , , , , , , , , , , , 
2023-04-23, 00:08:42, OK, 33%, 9.73, 11555, -14508, , 11.168, -14508, 33.2%, , , , , , , , , , , , 
2023-04-23, 00:09:02, OK, 33%, 9.73, 11555, -9019, , 11.229, -9019, 33.1%, , , , , , , , , , , , 
2023-04-23, 00:09:22, OK, 33%, 9.73, 11555, -8526, , 11.221, -8526, 33.1%, , , , , , , , , , , , 
2023-04-23, 00:09:42, OK, 33%, 9.73, 11555, -11803, , 11.174, -11803, 33.0%, , , , , , , , , , , , 
2023-04-23, 00:10:02, OK, 33%, 9.73, 11555, -8858, , 11.221, -8858, 32.9%, , , , , , , , , , , , 
2023-04-23, 00:10:22, OK, 33%, 9.73, 11555, -8709, , 11.217, -8709, 32.9%, , , , , , , , , , , , 
2023-04-23, 00:10:42, OK, 33%, 9.73, 11555, -8434, , 11.232, -8434, 32.8%, , , , , , , , , , , , 
2023-04-23, 00:11:02, OK, 33%, 9.73, 11555, -8411, , 11.227, -8411, 32.8%, , , , , , , , , , , , 
2023-04-23, 00:11:22, OK, 33%, 9.73, 11555, -8297, , 11.225, -8297, 32.7%, , , , , , , , , , , , 
2023-04-23, 00:11:42, OK, 33%, 9.73, 11555, -9271, , 11.217, -9271, 32.6%, , , , , , , , , , , , 
2023-04-23, 00:12:02, OK, 33%, 9.73, 11555, -9981, , 11.170, -9981, 32.6%, , , , , , , , , , , , 
2023-04-23, 00:12:22, OK, 33%, 9.73, 11555, -8652, , 11.221, -8652, 32.5%, , , , , , , , , , , , 
2023-04-23, 00:12:42, OK, 32%, 9.78, 11265, -8778, , 11.220, -8778, 32.5%, , , , , , , , , , , , 
2023-04-23, 00:13:02, OK, 32%, 9.78, 11265, -9637, , 11.178, -9637, 32.4%, , , , , , , , , , , , 
2023-04-23, 00:13:22, OK, 32%, 9.78, 11265, -8067, , 11.230, -8067, 32.4%, , , , , , , , , , , , 
2023-04-23, 00:13:42, OK, 32%, 9.78, 11265, -8824, , 11.219, -8824, 32.3%, , , , , , , , , , , , 
2023-04-23, 00:14:02, OK, 32%, 9.78, 11265, -9614, , 11.169, -9614, 32.3%, , , , , , , , , , , , 
2023-04-23, 00:14:22, OK, 32%, 9.78, 11265, -8342, , 11.219, -8342, 32.2%, , , , , , , , , , , , 
2023-04-23, 00:14:42, OK, 32%, 9.78, 11265, -8629, , 11.225, -8629, 32.1%, , , , , , , , , , , , 
2023-04-23, 00:15:02, OK, 32%, 9.78, 11265, -9557, , 11.197, -9557, 32.1%, , , , , , , , , , , , 
2023-04-23, 00:15:22, OK, 32%, 9.78, 11265, -8365, , 11.217, -8365, 32.0%, , , , , , , , , , , , 
2023-04-23, 00:15:42, OK, 32%, 9.78, 11265, -8663, , 11.214, -8663, 32.0%, , , , , , , , , , , , 
2023-04-23, 00:16:02, OK, 32%, 9.78, 11265, -8262, , 11.221, -8262, 31.9%, , , , , , , , , , , , 
2023-04-23, 00:16:22, OK, 32%, 9.78, 11265, -7953, , 11.223, -7953, 31.8%, , , , , , , , , , , , 
2023-04-23, 00:16:42, OK, 32%, 9.78, 11265, -12628, , 11.193, -12628, 31.8%, , , , , , , , , , , , 
2023-04-23, 00:17:02, OK, 32%, 9.78, 11265, -11757, , 11.175, -11757, 31.7%, , , , , , , , , , , , 
2023-04-23, 00:17:22, OK, 32%, 9.78, 11265, -9832, , 11.211, -9832, 31.6%, , , , , , , , , , , , 
2023-04-23, 00:17:42, OK, 32%, 9.78, 11265, -10474, , 11.175, -10474, 31.6%, , , , , , , , , , , , 
2023-04-23, 00:18:02, OK, 32%, 9.78, 11265, -8411, , 11.212, -8411, 31.5%, , , , , , , , , , , , 
2023-04-23, 00:18:22, OK, 31%, 10.47, 11686, -8159, , 11.209, -8159, 31.5%, , , , , , , , , , , , 
2023-04-23, 00:18:42, OK, 31%, 10.47, 11686, -9248, , 11.220, -9248, 31.4%, , , , , , , , , , , , 
2023-04-23, 00:19:02, OK, 31%, 10.47, 11686, -9328, , 11.202, -9328, 31.3%, , , , , , , , , , , , 
2023-04-23, 00:19:22, OK, 31%, 10.47, 11686, -9465, , 11.200, -9465, 31.3%, , , , , , , , , , , , 
2023-04-23, 00:19:42, OK, 31%, 10.47, 11686, -14164, , 11.179, -14164, 31.2%, , , , , , , , , , , , 
2023-04-23, 00:20:02, OK, 31%, 10.47, 11686, -11345, , 11.185, -11345, 31.1%, , , , , , , , , , , , 
2023-04-23, 00:20:22, OK, 31%, 10.47, 11686, -25338, , 11.032, -25338, 31.0%, , , , , , , , , , , , 
2023-04-23, 00:20:42, OK, 31%, 10.47, 11686, -16422, , 11.095, -16422, 30.9%, , , , , , , , , , , , 
2023-04-23, 00:21:02, OK, 31%, 10.47, 11686, -11311, , 11.150, -11311, 30.9%, , , , , , , , , , , , 
2023-04-23, 00:21:22, OK, 31%, 10.47, 11686, -9236, , 11.187, -9236, 30.8%, , , , , , , , , , , , 
2023-04-23, 00:21:42, OK, 31%, 5.61, 6258, -14198, , 11.161, -14198, 30.7%, , , , , , , , , , , , 
2023-04-23, 00:22:02, OK, 31%, 5.61, 6258, -10314, , 11.187, -10314, 30.7%, , , , , , , , , , , , 
2023-04-23, 00:22:22, OK, 31%, 5.61, 6258, -9958, , 11.172, -9958, 30.6%, , , , , , , , , , , , 
2023-04-23, 00:22:42, OK, 31%, 5.61, 6258, -12239, , 11.147, -12239, 30.5%, , , , , , , , , , , , 
2023-04-23, 00:23:02, OK, 30%, 9.22, 9954, -9019, , 11.187, -9019, 30.4%, , , , , , , , , , , , 
2023-04-23, 00:23:22, OK, 30%, 9.22, 9954, -9523, , 11.193, -9523, 30.4%, , , , , , , , , , , , 
2023-04-23, 00:23:42, OK, 30%, 9.22, 9954, -8640, , 11.190, -8640, 30.3%, , , , , , , , , , , , 
2023-04-23, 00:24:02, OK, 30%, 9.22, 9954, -8675, , 11.196, -8675, 30.3%, , , , , , , , , , , , 
2023-04-23, 00:24:22, OK, 30%, 9.22, 9954, -8858, , 11.201, -8858, 30.2%, , , , , , , , , , , , 
2023-04-23, 00:24:42, OK, 30%, 9.22, 9954, -9076, , 11.192, -9076, 30.2%, , , , , , , , , , , , 
2023-04-23, 00:25:02, OK, 30%, 9.22, 9954, -9099, , 11.195, -9099, 30.1%, , , , , , , , , , , , 
2023-04-23, 00:25:22, OK, 30%, 9.22, 9954, -8835, , 11.195, -8835, 30.0%, , , , , , , , , , , , 
2023-04-23, 00:25:42, OK, 30%, 9.22, 9954, -8755, , 11.185, -8755, 30.0%, , , , , , , , , , , , 
2023-04-23, 00:26:02, OK, 30%, 9.22, 9954, -8743, , 11.197, -8743, 29.9%, , , , , , , , , , , , 
2023-04-23, 00:26:22, OK, 30%, 9.22, 9954, -8835, , 11.188, -8835, 29.9%, , , , , , , , , , , , 
2023-04-23, 00:26:42, OK, 30%, 9.22, 9954, -8996, , 11.193, -8996, 29.8%, , , , , , , , , , , , 
2023-04-23, 00:27:02, OK, 30%, 9.22, 9954, -8503, , 11.188, -8503, 29.7%, , , , , , , , , , , , 
2023-04-23, 00:27:22, OK, 30%, 9.22, 9954, -9236, , 11.188, -9236, 29.7%, , , , , , , , , , , , 
2023-04-23, 00:27:42, OK, 30%, 9.22, 9954, -8927, , 11.178, -8927, 29.6%, , , , , , , , , , , , 
2023-04-23, 00:28:02, OK, 30%, 9.22, 9954, -8629, , 11.187, -8629, 29.6%, , , , , , , , , , , , 
2023-04-23, 00:28:22, OK, 30%, 9.22, 9954, -8342, , 11.191, -8342, 29.5%, , , , , , , , , , , , 
2023-04-23, 00:28:42, OK, 29%, 9.74, 10171, -8847, , 11.187, -8847, 29.4%, , , , , , , , , , , , 
2023-04-23, 00:29:02, OK, 29%, 9.74, 10171, -12560, , 11.138, -12560, 29.4%, , , , , , , , , , , , 
2023-04-23, 00:29:22, OK, 29%, 9.74, 10171, -8732, , 11.180, -8732, 29.3%, , , , , , , , , , , , 
2023-04-23, 00:29:42, OK, 29%, 9.74, 10171, -8973, , 11.181, -8973, 29.3%, , , , , , , , , , , , 
2023-04-23, 00:30:02, OK, 29%, 9.74, 10171, -8354, , 11.181, -8354, 29.2%, , , , , , , , , , , , 
2023-04-23, 00:30:22, OK, 29%, 9.74, 10171, -8766, , 11.190, -8766, 29.2%, , , , , , , , , , , , 
2023-04-23, 00:30:42, OK, 29%, 9.74, 10171, -9190, , 11.176, -9190, 29.1%, , , , , , , , , , , , 
2023-04-23, 00:31:02, OK, 29%, 9.74, 10171, -8446, , 11.186, -8446, 29.0%, , , , , , , , , , , , 
2023-04-23, 00:31:22, OK, 29%, 9.74, 10171, -8033, , 11.192, -8033, 29.0%, , , , , , , , , , , , 
2023-04-23, 00:31:42, OK, 29%, 9.74, 10171, -9339, , 11.176, -9339, 28.9%, , , , , , , , , , , , 
2023-04-23, 00:32:02, OK, 29%, 9.74, 10171, -8423, , 11.183, -8423, 28.9%, , , , , , , , , , , , 
2023-04-23, 00:32:22, OK, 29%, 9.74, 10171, -8915, , 11.179, -8915, 28.8%, , , , , , , , , , , , 
2023-04-23, 00:32:42, OK, 29%, 9.74, 10171, -8812, , 11.175, -8812, 28.7%, , , , , , , , , , , , 
2023-04-23, 00:33:02, OK, 29%, 9.74, 10171, -8743, , 11.173, -8743, 28.7%, , , , , , , , , , , , 
2023-04-23, 00:33:22, OK, 29%, 9.74, 10171, -8984, , 11.175, -8984, 28.6%, , , , , , , , , , , , 
2023-04-23, 00:33:42, OK, 29%, 9.74, 10171, -9030, , 11.165, -9030, 28.5%, , , , , , , , , , , , 
2023-04-23, 00:34:02, OK, 28%, 10.27, 10348, -9511, , 11.171, -9511, 28.5%, , , , , , , , , , , , 
2023-04-23, 00:34:22, OK, 28%, 10.27, 10348, -9190, , 11.171, -9190, 28.4%, , , , , , , , , , , , 
2023-04-23, 00:34:42, OK, 28%, 10.27, 10348, -8583, , 11.178, -8583, 28.4%, , , , , , , , , , , , 
2023-04-23, 00:35:02, OK, 28%, 10.27, 10348, -8457, , 11.170, -8457, 28.3%, , , , , , , , , , , , 
2023-04-23, 00:35:22, OK, 28%, 10.27, 10348, -8262, , 11.174, -8262, 28.3%, , , , , , , , , , , , 
2023-04-23, 00:35:42, OK, 28%, 10.27, 10348, -8354, , 11.171, -8354, 28.2%, , , , , , , , , , , , 
2023-04-23, 00:36:02, OK, 28%, 10.27, 10348, -8996, , 11.172, -8996, 28.2%, , , , , , , , , , , , 
2023-04-23, 00:36:22, OK, 28%, 10.27, 10348, -8113, , 11.175, -8113, 28.1%, , , , , , , , , , , , 
2023-04-23, 00:36:42, OK, 28%, 6.88, 6937, -9316, , 11.158, -9316, 28.0%, , , , , , , , , , , , 
2023-04-23, 00:37:02, OK, 28%, 6.88, 6937, -8090, , 11.175, -8090, 28.0%, , , , , , , , , , , , 
2023-04-23, 00:37:22, OK, 28%, 6.88, 6937, -8572, , 11.170, -8572, 27.9%, , , , , , , , , , , , 
2023-04-23, 00:37:42, OK, 28%, 6.88, 6937, -9064, , 11.169, -9064, 27.9%, , , , , , , , , , , , 
2023-04-23, 00:38:02, OK, 28%, 6.88, 6937, -8354, , 11.170, -8354, 27.8%, , , , , , , , , , , , 
2023-04-23, 00:38:22, OK, 28%, 6.88, 6937, -8789, , 11.160, -8789, 27.8%, , , , , , , , , , , , 
2023-04-23, 00:38:42, OK, 28%, 6.88, 6937, -8698, , 11.157, -8698, 27.7%, , , , , , , , , , , , 
2023-04-23, 00:39:02, OK, 28%, 6.88, 6937, -8640, , 11.163, -8640, 27.6%, , , , , , , , , , , , 
2023-04-23, 00:39:22, OK, 28%, 6.88, 6937, -8698, , 11.171, -8698, 27.6%, , , , , , , , , , , , 
2023-04-23, 00:39:42, OK, 28%, 6.88, 6937, -9145, , 11.159, -9145, 27.5%, , , , , , , , , , , , 
2023-04-23, 00:40:02, OK, 27%, 9.97, 9692, -8365, , 11.166, -8365, 27.5%, , , , , , , , , , , , 
2023-04-23, 00:40:22, OK, 27%, 9.97, 9692, -9259, , 11.151, -9259, 27.4%, , , , , , , , , , , , 
2023-04-23, 00:40:42, OK, 27%, 9.97, 9692, -8285, , 11.163, -8285, 27.3%, , , , , , , , , , , , 
2023-04-23, 00:41:02, OK, 27%, 9.97, 9692, -9019, , 11.161, -9019, 27.3%, , , , , , , , , , , , 
2023-04-23, 00:41:22, OK, 27%, 9.97, 9692, -12055, , 11.146, -12055, 27.2%, , , , , , , , , , , , 
2023-04-23, 00:41:42, OK, 27%, 9.97, 9692, -9580, , 11.155, -9580, 27.2%, , , , , , , , , , , , 
2023-04-23, 00:42:02, OK, 27%, 9.97, 9692, -8365, , 11.156, -8365, 27.1%, , , , , , , , , , , , 
2023-04-23, 00:42:22, OK, 27%, 9.97, 9692, -8560, , 11.150, -8560, 27.0%, , , , , , , , , , , , 
2023-04-23, 00:42:42, OK, 27%, 9.97, 9692, -9099, , 11.151, -9099, 27.0%, , , , , , , , , , , , 
2023-04-23, 00:43:02, OK, 27%, 9.97, 9692, -9821, , 11.151, -9821, 26.9%, , , , , , , , , , , , 
2023-04-23, 00:43:22, OK, 27%, 9.97, 9692, -9110, , 11.153, -9110, 26.8%, , , , , , , , , , , , 
2023-04-23, 00:43:42, OK, 27%, 9.97, 9692, -8686, , 11.156, -8686, 26.8%, , , , , , , , , , , , 
2023-04-23, 00:44:02, OK, 27%, 9.97, 9692, -8732, , 11.159, -8732, 26.7%, , , , , , , , , , , , 
2023-04-23, 00:44:22, OK, 27%, 9.97, 9692, -8801, , 11.158, -8801, 26.7%, , , , , , , , , , , , 
2023-04-23, 00:44:42, OK, 27%, 9.97, 9692, -8778, , 11.151, -8778, 26.6%, , , , , , , , , , , , 
2023-04-23, 00:45:02, OK, 27%, 9.97, 9692, -8835, , 11.151, -8835, 26.6%, , , , , , , , , , , , 
2023-04-23, 00:45:22, OK, 26%, 10.13, 9479, -9546, , 11.146, -9546, 26.5%, , , , , , , , , , , , 
2023-04-23, 00:45:42, OK, 26%, 10.13, 9479, -10325, , 11.128, -10325, 26.4%, , , , , , , , , , , , 
2023-04-23, 00:46:02, OK, 26%, 10.13, 9479, -8961, , 11.133, -8961, 26.4%, , , , , , , , , , , , 
2023-04-23, 00:46:22, OK, 26%, 10.13, 9479, -13476, , 11.073, -13476, 26.3%, , , , , , , , , , , , 
2023-04-23, 00:46:42, OK, 26%, 10.13, 9479, -9798, , 11.132, -9798, 26.3%, , , , , , , , , , , , 
2023-04-23, 00:47:02, OK, 26%, 10.13, 9479, -8892, , 11.145, -8892, 26.2%, , , , , , , , , , , , 
2023-04-23, 00:47:22, OK, 26%, 10.13, 9479, -8423, , 11.148, -8423, 26.1%, , , , , , , , , , , , 
2023-04-23, 00:47:42, OK, 26%, 10.13, 9479, -8549, , 11.142, -8549, 26.1%, , , , , , , , , , , , 
2023-04-23, 00:48:02, OK, 26%, 10.13, 9479, -10669, , 11.117, -10669, 26.0%, , , , , , , , , , , , 
2023-04-23, 00:48:22, OK, 26%, 10.13, 9479, -8789, , 11.142, -8789, 25.9%, , , , , , , , , , , , 
2023-04-23, 00:48:42, OK, 26%, 10.13, 9479, -8778, , 11.147, -8778, 25.9%, , , , , , , , , , , , 
2023-04-23, 00:49:02, OK, 26%, 10.13, 9479, -10107, , 11.143, -10107, 25.8%, , , , , , , , , , , , 
2023-04-23, 00:49:22, OK, 26%, 10.13, 9479, -14141, , 11.076, -14141, 25.7%, , , , , , , , , , , , 
2023-04-23, 00:49:42, OK, 26%, 10.13, 9479, -8698, , 11.138, -8698, 25.7%, , , , , , , , , , , , 
2023-04-23, 00:50:02, OK, 26%, 10.13, 9479, -8480, , 11.141, -8480, 25.6%, , , , , , , , , , , , 
2023-04-23, 00:50:22, OK, 26%, 10.13, 9479, -8491, , 11.151, -8491, 25.6%, , , , , , , , , , , , 
2023-04-23, 00:50:42, OK, 25%, 10.11, 9096, -8847, , 11.140, -8847, 25.5%, , , , , , , , , , , , 
2023-04-23, 00:51:02, OK, 25%, 10.11, 9096, -8537, , 11.137, -8537, 25.4%, , , , , , , , , , , , 
2023-04-23, 00:51:22, OK, 25%, 10.11, 9096, -8629, , 11.134, -8629, 25.4%, , , , , , , , , , , , 
2023-04-23, 00:51:42, OK, 25%, 9.18, 8264, -9076, , 11.131, -9076, 25.3%, , , , , , , , , , , , 
2023-04-23, 00:52:02, OK, 25%, 9.18, 8264, -9339, , 11.119, -9339, 25.2%, , , , , , , , , , , , 
2023-04-23, 00:52:22, OK, 25%, 9.18, 8264, -9855, , 11.133, -9855, 25.2%, , , , , , , , , , , , 
2023-04-23, 00:52:42, OK, 25%, 9.18, 8264, -9053, , 11.138, -9053, 25.1%, , , , , , , , , , , , 
2023-04-23, 00:53:02, OK, 25%, 9.18, 8264, -9110, , 11.122, -9110, 25.1%, , , , , , , , , , , , 
2023-04-23, 00:53:22, OK, 25%, 9.18, 8264, -9007, , 11.124, -9007, 25.0%, , , , , , , , , , , , 
2023-04-23, 00:53:42, OK, 25%, 9.18, 8264, -9133, , 11.131, -9133, 25.0%, , , , , , , , , , , , 
2023-04-23, 00:54:02, OK, 25%, 9.18, 8264, -8308, , 11.139, -8308, 24.9%, , , , , , , , , , , , 
2023-04-23, 00:54:22, OK, 25%, 9.18, 8264, -8698, , 11.131, -8698, 24.8%, , , , , , , , , , , , 
2023-04-23, 00:54:42, OK, 25%, 9.18, 8264, -8342, , 11.136, -8342, 24.8%, , , , , , , , , , , , 
2023-04-23, 00:55:02, OK, 25%, 9.18, 8264, -9305, , 11.118, -9305, 24.7%, , , , , , , , , , , , 
2023-04-23, 00:55:22, OK, 25%, 9.18, 8264, -23126, , 10.972, -23126, 24.6%, , , , , , , , , , , , 
2023-04-23, 00:55:42, OK, 25%, 9.18, 8264, -13729, , 11.067, -13729, 24.6%, , , , , , , , , , , , 
2023-04-23, 00:56:02, OK, 25%, 9.18, 8264, -8789, , 11.120, -8789, 24.5%, , , , , , , , , , , , 
2023-04-23, 00:56:22, OK, 24%, 9.73, 8406, -9087, , 11.123, -9087, 24.4%, , , , , , , , , , , , 
2023-04-23, 00:56:42, OK, 24%, 9.73, 8406, -9156, , 11.116, -9156, 24.4%, , , , , , , , , , , , 
2023-04-23, 00:57:02, OK, 24%, 9.73, 8406, -8411, , 11.134, -8411, 24.3%, , , , , , , , , , , , 
2023-04-23, 00:57:22, OK, 24%, 9.73, 8406, -8732, , 11.123, -8732, 24.3%, , , , , , , , , , , , 
2023-04-23, 00:57:42, OK, 24%, 9.73, 8406, -8732, , 11.126, -8732, 24.2%, , , , , , , , , , , , 
2023-04-23, 00:58:02, OK, 24%, 9.73, 8406, -8652, , 11.128, -8652, 24.1%, , , , , , , , , , , , 
2023-04-23, 00:58:22, OK, 24%, 9.73, 8406, -11173, , 11.096, -11173, 24.1%, , , , , , , , , , , , 
2023-04-23, 00:58:42, OK, 24%, 9.73, 8406, -10325, , 11.108, -10325, 24.0%, , , , , , , , , , , , 
2023-04-23, 00:59:02, OK, 24%, 9.73, 8406, -12296, , 11.064, -12296, 23.9%, , , , , , , , , , , , 
2023-04-23, 00:59:22, OK, 24%, 9.73, 8406, -8698, , 11.124, -8698, 23.9%, , , , , , , , , , , , 
2023-04-23, 00:59:42, OK, 24%, 9.73, 8406, -11379, , 11.092, -11379, 23.8%, , , , , , , , , , , , 
2023-04-23, 01:00:02, OK, 24%, 9.73, 8406, -8537, , 11.114, -8537, 23.7%, , , , , , , , , , , , 
2023-04-23, 01:00:22, OK, 24%, 9.73, 8406, -8870, , 11.118, -8870, 23.7%, , , , , , , , , , , , 
2023-04-23, 01:00:42, OK, 24%, 9.73, 8406, -8686, , 11.125, -8686, 23.6%, , , , , , , , , , , , 
2023-04-23, 01:01:02, OK, 24%, 9.73, 8406, -8721, , 11.112, -8721, 23.6%, , , , , , , , , , , , 
2023-04-23, 01:01:22, OK, 24%, 9.73, 8406, -9099, , 11.111, -9099, 23.5%, , , , , , , , , , , , 
2023-04-23, 01:01:42, OK, 23%, 8.07, 6684, -10474, , 11.097, -10474, 23.4%, , , , , , , , , , , , 
2023-04-23, 01:02:02, OK, 23%, 8.07, 6684, -12353, , 11.086, -12353, 23.4%, , , , , , , , , , , , 
2023-04-23, 01:02:22, OK, 23%, 8.07, 6684, -11047, , 11.098, -11047, 23.3%, , , , , , , , , , , , 
