Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.022

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-06-28, 10:25:16, OK, 48%, 0.00, -1, -47696, , 11.022, -47696, 47.5%, , , , , , , , , , , , 
2023-06-28, 10:25:46, OK, 47%, 2.07, 3496, -49839, , 11.031, -49839, 47.1%, , , , , , , , , , , , 
2023-06-28, 10:26:16, OK, 47%, 2.07, 3496, -28730, , 11.154, -28730, 46.8%, , , , , , , , , , , , 
2023-06-28, 10:26:46, OK, 47%, 6.14, 10384, -11425, , 11.325, -11425, 46.6%, , , , , , , , , , , , 
2023-06-28, 10:27:16, OK, 47%, 6.14, 10384, -14210, , 11.299, -14210, 46.5%, , , , , , , , , , , , 
2023-06-28, 10:27:46, OK, 46%, 7.20, 11921, -10955, , 11.364, -10955, 46.4%, , , , , , , , , , , , 
2023-06-28, 10:28:16, OK, 46%, 6.30, 10432, -19023, , 11.263, -19023, 46.2%, , , , , , , , , , , , 
2023-06-28, 10:28:46, OK, 46%, 6.30, 10432, -13087, , 11.325, -13087, 46.1%, , , , , , , , , , , , 
2023-06-28, 10:29:16, OK, 46%, 6.30, 10432, -11998, , 11.337, -11998, 46.0%, , , , , , , , , , , , 
2023-06-28, 10:29:46, OK, 46%, 6.30, 10432, -12181, , 11.341, -12181, 45.9%, , , , , , , , , , , , 
2023-06-28, 10:30:16, OK, 46%, 6.30, 10432, -12113, , 11.317, -12113, 45.7%, , , , , , , , , , , , 
2023-06-28, 10:30:46, OK, 46%, 7.80, 12920, -11196, , 11.335, -11196, 45.6%, , , , , , , , , , , , 
2023-06-28, 10:31:16, OK, 45%, 5.91, 9568, -10119, , 11.349, -10119, 45.5%, , , , , , , , , , , , 
