Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.052

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-06-27, 00:00:27, OK, 49%, 0.00, -1, 31606, , 11.951, 31606, 48.5%, , , , , , , , , , , , 
2023-06-27, 00:00:57, OK, 49%, 0.00, -1, 32030, , 11.955, 32030, 48.8%, , , , , , , , , , , , 
2023-06-27, 00:01:27, OK, 49%, 0.00, -1, 29727, , 11.970, 29727, 49.1%, , , , , , , , , , , , 
2023-06-27, 00:01:57, OK, 49%, 0.00, -1, 32282, , 11.979, 32282, 49.4%, , , , , , , , , , , , 
2023-06-27, 00:02:27, OK, 50%, 0.00, -1, 0, , 11.626, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 00:02:57, OK, 50%, 0.00, -1, 0, , 11.605, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 00:03:27, OK, 50%, 0.00, -1, 0, , 11.596, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 00:03:57, OK, 50%, 0.00, -1, 0, , 11.590, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 00:04:27, OK, 50%, 0.00, -1, 0, , 11.587, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 00:04:57, OK, 50%, 0.00, -1, 0, , 11.584, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 00:05:27, OK, 50%, 0.00, -1, 0, , 11.582, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 00:05:57, OK, 50%, 0.00, -1, 0, , 11.580, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 00:06:27, OK, 50%, 0.00, -1, 0, , 11.579, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:34:11, OK, 48%, 7.64, 13204, -11735, , 11.415, -11735, 48.0%, , , , , , , , , , , , 
2023-06-27, 10:34:41, OK, 48%, 9.85, 17025, -5787, , 11.454, -5787, 47.9%, , , , , , , , , , , , 
2023-06-27, 10:35:11, OK, 48%, 1132.39, 1956764, 38952, , 11.937, 38952, 47.9%, , , , , , , , , , , , 
2023-06-27, 10:35:41, OK, 48%, 1133.22, 1958205, 39158, , 11.968, 39158, 48.3%, , , , , , , , , , , , 
2023-06-27, 10:36:11, OK, 49%, 0.00, -1, 37348, , 11.982, 37348, 48.7%, , , , , , , , , , , , 
2023-06-27, 10:36:41, OK, 49%, 0.00, -1, 24054, , 11.880, 24054, 48.9%, , , , , , , , , , , , 
2023-06-27, 10:37:11, OK, 49%, 0.00, -1, 25108, , 11.880, 25108, 49.1%, , , , , , , , , , , , 
2023-06-27, 10:37:41, OK, 49%, 0.00, -1, 26976, , 11.899, 26976, 49.4%, , , , , , , , , , , , 
2023-06-27, 10:38:11, OK, 50%, 0.00, -1, -160, , 11.618, -160, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:38:41, OK, 50%, 0.00, -1, 0, , 11.595, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:39:11, OK, 50%, 0.00, -1, -148, , 11.585, -148, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:39:41, OK, 50%, 0.00, -1, 0, , 11.581, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:40:11, OK, 50%, 0.00, -1, 0, , 11.579, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:40:41, OK, 50%, 0.00, -1, 0, , 11.577, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:41:11, OK, 50%, 0.00, -1, 0, , 11.576, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:41:41, OK, 50%, 0.00, -1, 0, , 11.575, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:42:11, OK, 50%, 0.00, -1, 0, , 11.574, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:42:41, OK, 50%, 0.00, -1, -275, , 11.567, -275, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:43:11, OK, 49%, 0.00, -1, -45, , 11.569, -45, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:43:41, OK, 49%, 0.00, -1, -171, , 11.570, -171, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:44:11, OK, 49%, 0.00, -1, 0, , 11.571, 0, 49.5%, , , , , , , , , , , , 
2023-06-27, 10:44:41, OK, 49%, 0.00, -1, 0, , 11.569, 0, 49.5%, , , , , , , , , , , , 
