Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 12.069

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-08-03, 09:11:03, OK, 89%, 0.00, -1, -51615, , 12.069, -51615, 89.0%, , , , , , , , , , , , 
2023-08-03, 09:11:33, OK, 89%, 1.79, 5738, -40717, , 12.048, -40717, 88.6%, , , , , , , , , , , , 
2023-08-03, 09:12:03, OK, 88%, 3.36, 10653, -44499, , 12.044, -44499, 88.2%, , , , , , , , , , , , 
2023-08-03, 09:12:33, OK, 88%, 3.36, 10653, -10715, , 12.448, -10715, 88.0%, , , , , , , , , , , , 
2023-08-03, 09:13:03, OK, 88%, 3.36, 10653, -11482, , 12.429, -11482, 87.9%, , , , , , , , , , , , 
2023-08-03, 09:13:33, OK, 88%, 3.36, 10653, -9901, , 12.461, -9901, 87.8%, , , , , , , , , , , , 
2023-08-03, 09:14:03, OK, 88%, 3.36, 10653, -7414, , 12.485, -7414, 87.7%, , , , , , , , , , , , 
2023-08-03, 09:14:33, OK, 88%, 3.36, 10653, -14909, , 12.413, -14909, 87.6%, , , , , , , , , , , , 
2023-08-03, 09:15:03, OK, 87%, 9.94, 31140, -10336, , 12.468, -10336, 87.5%, , , , , , , , , , , , 
2023-08-03, 09:15:33, OK, 87%, 9.94, 31140, -10944, , 12.427, -10944, 87.3%, , , , , , , , , , , , 
2023-08-03, 09:16:03, OK, 87%, 9.94, 31140, -13545, , 12.423, -13545, 87.2%, , , , , , , , , , , , 
2023-08-03, 09:16:33, OK, 87%, 9.94, 31140, -9867, , 12.453, -9867, 87.1%, , , , , , , , , , , , 
2023-08-03, 09:17:03, OK, 87%, 9.94, 31140, -8870, , 12.463, -8870, 87.0%, , , , , , , , , , , , 
2023-08-03, 09:17:33, OK, 87%, 9.94, 31140, -9603, , 12.450, -9603, 86.9%, , , , , , , , , , , , 
2023-08-03, 09:18:03, OK, 87%, 9.94, 31140, -10852, , 12.425, -10852, 86.8%, , , , , , , , , , , , 
2023-08-03, 09:18:33, OK, 87%, 9.94, 31140, -9523, , 12.443, -9523, 86.7%, , , , , , , , , , , , 
