Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 11.882

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-10-02, 00:41:39, OK, 60%, 0.00, -1, -171, , 11.869, -171, 59.5%, , , , , , , , , , , , 
2023-10-02, 00:42:09, OK, 60%, 0.00, -1, 0, , 11.870, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 00:42:39, OK, 60%, 0.00, -1, 0, , 11.870, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 00:43:09, OK, 60%, 0.00, -1, 0, , 11.870, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:34:16, OK, 59%, 0.00, -1, 6154, , 11.824, 6154, 59.1%, , , , , , , , , , , , 
2023-10-02, 11:34:46, OK, 59%, 0.00, -1, 35113, , 12.225, 35113, 59.3%, , , , , , , , , , , , 
2023-10-02, 11:35:16, OK, 60%, 0.00, -1, 0, , 11.870, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:35:46, OK, 60%, 0.00, -1, 0, , 11.835, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:36:16, OK, 60%, 0.00, -1, 0, , 11.823, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:36:46, OK, 60%, 0.00, -1, 0, , 11.819, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:37:16, OK, 60%, 0.00, -1, 0, , 11.816, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:37:46, OK, 60%, 0.00, -1, 0, , 11.814, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:38:16, OK, 60%, 0.00, -1, 0, , 11.813, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:38:46, OK, 60%, 0.00, -1, 0, , 11.812, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:39:16, OK, 60%, 0.00, -1, 0, , 11.811, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:39:46, OK, 60%, 0.00, -1, -974, , 11.758, -974, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:40:16, OK, 60%, 0.00, -1, 0, , 11.810, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:40:46, OK, 60%, 0.00, -1, 0, , 11.809, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:41:16, OK, 60%, 0.00, -1, 0, , 11.809, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:41:46, OK, 60%, 0.00, -1, 0, , 11.809, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:42:16, OK, 60%, 0.00, -1, 0, , 11.809, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:42:46, OK, 60%, 0.00, -1, 0, , 11.808, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:43:16, OK, 60%, 0.00, -1, 0, , 11.808, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:43:46, OK, 60%, 0.00, -1, -664, , 11.803, -664, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:44:16, OK, 60%, 0.00, -1, 0, , 11.808, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:44:46, OK, 60%, 0.00, -1, -378, , 11.807, -378, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:45:16, OK, 60%, 0.00, -1, 0, , 11.807, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:45:46, OK, 60%, 0.00, -1, -34, , 11.808, -34, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:46:16, OK, 60%, 0.00, -1, -45, , 11.807, -45, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:46:46, OK, 60%, 0.00, -1, 0, , 11.807, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:47:16, OK, 60%, 0.00, -1, 0, , 11.807, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:47:46, OK, 60%, 0.00, -1, 0, , 11.807, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:48:16, OK, 60%, 0.00, -1, 0, , 11.807, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:48:46, OK, 60%, 0.00, -1, 0, , 11.807, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:49:16, OK, 60%, 0.00, -1, 0, , 11.807, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:49:46, OK, 60%, 0.00, -1, -229, , 11.807, -229, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:50:16, OK, 60%, 0.00, -1, 0, , 11.806, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:50:46, OK, 60%, 0.00, -1, -126, , 11.807, -126, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:51:16, OK, 60%, 0.00, -1, 0, , 11.806, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:51:46, OK, 60%, 0.00, -1, 0, , 11.807, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:52:16, OK, 60%, 0.00, -1, 0, , 11.807, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:52:46, OK, 60%, 0.00, -1, 0, , 11.807, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:53:16, OK, 60%, 0.00, -1, 0, , 11.806, 0, 59.5%, , , , , , , , , , , , 
2023-10-02, 11:53:46, OK, 60%, 0.00, -1, 0, , 11.806, 0, 59.5%, , , , , , , , , , , , 
