Unique ID, Manufacturer, Chemistry, Voltage (Volts)
25E3Sunwoda-HHB9790T7ECW-32T, Sunwoda-H, Lithium Ion, 12.065

Date, Time, Status, %Charge, Total life(hours), Remaining life(sec), Charge Rate, Bat1 Temperature, Bat1 Voltage, Bat1 Charge Rate, Bat1 %Charge, Bat2 Temperature, Bat2 Voltage, Bat2 Charge Rate, Bat2 %Charge, Bat3 Temperature, Bat3 Voltage, Bat3 Charge Rate, Bat3 %Charge, Bat4 Temperature, Bat4 Voltage, Bat4 Charge Rate, Bat4 %Charge
2023-06-16, 09:37:49, OK, 49%, 193.14, 340706, 6062, , 11.644, 6062, 48.8%, , , , , , , , , , , , 
2023-06-16, 09:38:19, OK, 49%, 193.19, 340780, 37233, , 12.048, 37233, 49.1%, , , , , , , , , , , , 
2023-06-16, 09:38:49, OK, 49%, 193.23, 340853, 32225, , 11.923, 32225, 49.4%, , , , , , , , , , , , 
2023-06-16, 09:39:19, OK, 50%, 203.44, 366194, 0, , 11.627, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:39:49, OK, 50%, 203.49, 366273, 0, , 11.605, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:40:19, OK, 50%, 203.53, 366352, 0, , 11.597, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:40:49, OK, 50%, 203.57, 366431, -68, , 11.592, -68, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:41:19, OK, 50%, 203.62, 366510, 0, , 11.591, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:41:49, OK, 50%, 203.66, 366589, 0, , 11.590, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:42:19, OK, 50%, 203.70, 366668, -664, , 11.554, -664, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:42:49, OK, 50%, 203.75, 366747, 0, , 11.587, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:43:19, OK, 50%, 203.79, 366826, 0, , 11.587, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:43:49, OK, 50%, 203.84, 366905, 0, , 11.586, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:44:19, OK, 50%, 203.88, 366984, 0, , 11.585, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:44:49, OK, 50%, 203.92, 367063, 0, , 11.585, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:45:19, OK, 50%, 203.97, 367142, 0, , 11.584, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:45:49, OK, 50%, 204.01, 367221, -928, , 11.565, -928, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:46:19, OK, 50%, 204.06, 367300, -297, , 11.583, -297, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:46:49, OK, 50%, 204.10, 367379, 0, , 11.583, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:47:19, OK, 50%, 204.14, 367458, 0, , 11.583, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:47:49, OK, 50%, 204.19, 367537, -252, , 11.582, -252, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:48:19, OK, 50%, 204.23, 367615, -504, , 11.582, -504, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:48:49, OK, 50%, 204.27, 367694, 0, , 11.581, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:49:19, OK, 50%, 204.32, 367773, 0, , 11.581, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:49:49, OK, 49%, 194.14, 342470, -217, , 11.581, -217, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:50:19, OK, 49%, 194.19, 342544, -194, , 11.581, -194, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:50:49, OK, 49%, 194.23, 342617, -3346, , 11.552, -3346, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:51:19, OK, 49%, 194.27, 342691, 0, , 11.580, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:51:49, OK, 49%, 194.31, 342764, -183, , 11.580, -183, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:52:19, OK, 49%, 194.35, 342838, -126, , 11.581, -126, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:52:49, OK, 49%, 194.39, 342911, -1833, , 11.556, -1833, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:53:19, OK, 49%, 194.44, 342985, -137, , 11.579, -137, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:53:49, OK, 49%, 194.48, 343058, -286, , 11.579, -286, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:54:19, OK, 49%, 194.52, 343132, -240, , 11.579, -240, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:54:49, OK, 49%, 194.56, 343205, 0, , 11.580, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:55:19, OK, 49%, 194.60, 343279, 0, , 11.580, 0, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:55:49, OK, 49%, 194.64, 343352, -573, , 11.588, -573, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:56:19, OK, 49%, 194.69, 343426, -515, , 11.579, -515, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:56:49, OK, 49%, 194.73, 343499, -699, , 11.578, -699, 49.5%, , , , , , , , , , , , 
2023-06-16, 09:57:19, OK, 49%, 194.77, 343573, -114, , 11.576, -114, 49.4%, , , , , , , , , , , , 
2023-06-16, 09:57:49, OK, 49%, 194.81, 343646, -366, , 11.577, -366, 49.4%, , , , , , , , , , , , 
2023-06-16, 09:58:19, OK, 49%, 194.85, 343720, -2120, , 11.574, -2120, 49.4%, , , , , , , , , , , , 
2023-06-16, 09:58:49, OK, 49%, 194.89, 343793, -114, , 11.577, -114, 49.4%, , , , , , , , , , , , 
2023-06-16, 09:59:19, OK, 49%, 194.94, 343867, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 09:59:49, OK, 49%, 194.98, 343940, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:00:19, OK, 49%, 195.02, 344014, -2842, , 11.576, -2842, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:00:49, OK, 49%, 195.06, 344087, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:01:19, OK, 49%, 195.10, 344161, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:01:49, OK, 49%, 195.14, 344234, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:02:19, OK, 49%, 195.19, 344308, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:02:49, OK, 49%, 195.23, 344381, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:03:19, OK, 49%, 195.27, 344455, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:03:49, OK, 49%, 195.31, 344528, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:04:19, OK, 49%, 195.35, 344602, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:04:49, OK, 49%, 195.39, 344675, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:05:19, OK, 49%, 195.44, 344749, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:05:49, OK, 49%, 195.48, 344822, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:06:19, OK, 49%, 195.52, 344896, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:06:49, OK, 49%, 195.56, 344969, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:07:19, OK, 49%, 195.60, 345043, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:07:49, OK, 49%, 195.64, 345116, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:08:19, OK, 49%, 195.69, 345190, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:08:49, OK, 49%, 195.73, 345263, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:09:19, OK, 49%, 195.77, 345337, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:09:49, OK, 49%, 195.81, 345410, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:10:19, OK, 49%, 195.85, 345484, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:10:49, OK, 49%, 195.89, 345557, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:11:19, OK, 49%, 195.94, 345631, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:11:49, OK, 49%, 195.98, 345704, -80, , 11.578, -80, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:12:19, OK, 49%, 196.02, 345778, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:12:49, OK, 49%, 196.06, 345851, -744, , 11.574, -744, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:13:19, OK, 49%, 196.10, 345925, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:13:49, OK, 49%, 196.14, 345998, -229, , 11.577, -229, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:14:19, OK, 49%, 196.19, 346072, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:14:49, OK, 49%, 196.23, 346145, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:15:19, OK, 49%, 196.27, 346219, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:15:49, OK, 49%, 196.31, 346292, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:16:19, OK, 49%, 196.35, 346366, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:16:49, OK, 49%, 196.39, 346439, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:17:19, OK, 49%, 196.44, 346513, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:17:49, OK, 49%, 196.48, 346586, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:18:19, OK, 49%, 196.52, 346660, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:18:49, OK, 49%, 196.56, 346733, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:19:19, OK, 49%, 196.60, 346807, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:19:49, OK, 49%, 196.64, 346881, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:20:19, OK, 49%, 196.69, 346954, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:20:49, OK, 49%, 196.73, 347028, -424, , 11.577, -424, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:21:19, OK, 49%, 196.77, 347101, -584, , 11.567, -584, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:21:49, OK, 49%, 196.81, 347174, 0, , 11.576, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:22:19, OK, 49%, 196.85, 347248, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:22:49, OK, 49%, 196.89, 347321, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:23:19, OK, 49%, 196.94, 347395, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:23:49, OK, 49%, 196.98, 347469, -126, , 11.577, -126, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:24:19, OK, 49%, 197.02, 347542, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:24:49, OK, 49%, 197.06, 347615, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:25:19, OK, 49%, 197.10, 347689, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:25:49, OK, 49%, 197.14, 347763, 0, , 11.578, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:26:19, OK, 49%, 197.19, 347836, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:26:49, OK, 49%, 197.23, 347910, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:27:19, OK, 49%, 197.27, 347983, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:27:49, OK, 49%, 197.31, 348057, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:28:19, OK, 49%, 197.35, 348130, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:28:49, OK, 49%, 197.39, 348204, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:29:19, OK, 49%, 197.44, 348277, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:29:49, OK, 49%, 197.48, 348351, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
2023-06-16, 10:30:19, OK, 49%, 197.52, 348424, 0, , 11.577, 0, 49.4%, , , , , , , , , , , , 
